date,case_us,tweet_us,sentiment_us,case_AL,case_AK,case_AZ,case_AR,case_CA,case_CO,case_CT,case_DE,case_DC,case_FL,case_GA,case_HI,case_ID,case_IL,case_IN,case_IA,case_KS,case_KY,case_LA,case_ME,case_MD,case_MA,case_MI,case_MN,case_MS,case_MO,case_MT,case_NE,case_NV,case_NH,case_NJ,case_NM,case_NY,case_NC,case_ND,case_OH,case_OK,case_OR,case_PA,case_RI,case_SC,case_SD,case_TN,case_TX,case_UT,case_VT,case_VA,case_WA,case_WV,case_WI,case_WY,tweet_AL,tweet_AK,tweet_AZ,tweet_AR,tweet_CA,tweet_CO,tweet_CT,tweet_DE,tweet_DC,tweet_FL,tweet_GA,tweet_HI,tweet_ID,tweet_IL,tweet_IN,tweet_IA,tweet_KS,tweet_KY,tweet_LA,tweet_ME,tweet_MD,tweet_MA,tweet_MI,tweet_MN,tweet_MS,tweet_MO,tweet_MT,tweet_NE,tweet_NV,tweet_NH,tweet_NJ,tweet_NM,tweet_NY,tweet_NC,tweet_ND,tweet_OH,tweet_OK,tweet_OR,tweet_PA,tweet_RI,tweet_SC,tweet_SD,tweet_TN,tweet_TX,tweet_UT,tweet_VT,tweet_VA,tweet_WA,tweet_WV,tweet_WI,tweet_WY,sentiment_AL,sentiment_AK,sentiment_AZ,sentiment_AR,sentiment_CA,sentiment_CO,sentiment_CT,sentiment_DE,sentiment_DC,sentiment_FL,sentiment_GA,sentiment_HI,sentiment_ID,sentiment_IL,sentiment_IN,sentiment_IA,sentiment_KS,sentiment_KY,sentiment_LA,sentiment_ME,sentiment_MD,sentiment_MA,sentiment_MI,sentiment_MN,sentiment_MS,sentiment_MO,sentiment_MT,sentiment_NE,sentiment_NV,sentiment_NH,sentiment_NJ,sentiment_NM,sentiment_NY,sentiment_NC,sentiment_ND,sentiment_OH,sentiment_OK,sentiment_OR,sentiment_PA,sentiment_RI,sentiment_SC,sentiment_SD,sentiment_TN,sentiment_TX,sentiment_UT,sentiment_VT,sentiment_VA,sentiment_WA,sentiment_WV,sentiment_WI,sentiment_WY
4/10/20,496535,10946754,-0.03459180608801654,2947,246,3112,1171,21081,6202,10538,1326,1660,17531,11485,442,1354,17887,6907,1388,1117,1693,19253,586,6968,20974,22434,1336,2469,3897,365,635,2722,819,54588,1081,172348,3965,278,5878,1794,1322,20051,1727,3067,536,4891,12105,2103,679,4509,10119,574,3068,239,64463,39069,282117,66501,1693871,219671,104511,28634,25297,840406,329427,53959,50112,344889,145030,59122,68540,107522,120179,51725,193273,269313,269526,163916,47468,155756,38911,51424,136109,34705,226163,54431,758422,278968,10282,317296,91986,214807,359810,26622,113842,17581,200720,1105889,71291,25239,258016,578410,37457,128870,15206,0.3203592814371258,0.3304093567251462,0.3430560159098442,0.36932707355242567,0.35942997888810696,0.3614457831325301,0.37067395264116576,0.3536977491961415,0.37815126050420167,0.32807215332581735,0.3509354254677127,0.35157894736842105,0.31856540084388185,0.37739312876999737,0.38892270237370663,0.35075653370013754,0.4095607235142119,0.35708079930495223,0.3745401030169242,0.3247011952191235,0.38069835111542194,0.3872113676731794,0.3660949868073879,0.36683417085427134,0.353515625,0.34990677439403356,0.3104325699745547,0.390990990990991,0.3577586206896552,0.36528497409326427,0.3356758991318727,0.3664259927797834,0.3568849922640536,0.36106194690265486,0.3557692307692308,0.36983993260320136,0.346448087431694,0.3417109714838086,0.34894493051981473,0.37341772151898733,0.31561996779388085,0.36153846153846153,0.35524475524475524,0.35144827586206895,0.360056258790436,0.3117408906882591,0.3488108720271801,0.3664504170528267,0.37119113573407203,0.3679890560875513,0.26993865030674846
4/11/20,526396,11052472,-0.09370211316899679,3217,257,3393,1228,21706,6513,11510,1479,1778,18494,12159,465,1396,19180,7435,1510,1275,1693,20014,616,7694,22860,23605,1427,2642,4108,377,699,2702,885,58151,1091,181026,4354,293,6250,1868,1371,21719,2349,3211,626,5132,13023,2207,711,5077,10434,577,3213,261,65067,39433,284918,67136,1709664,221810,105545,28955,25524,848773,332615,54469,50583,348388,146431,59741,69174,108663,121424,52200,195083,271931,272460,165527,48007,157299,39344,51916,137497,35030,228371,54927,765600,281650,10388,320401,92816,216805,363390,26885,115063,17725,202764,1116768,71905,25453,260510,583068,37841,130174,15361,0.31125827814569534,0.3516483516483517,0.3120314173509461,0.3291338582677165,0.3306528208700057,0.3506311360448808,0.32591876208897486,0.3582554517133956,0.30837004405286345,0.314210589219553,0.3240276035131744,0.3764705882352941,0.28662420382165604,0.3380965990282938,0.3483226266952177,0.3408723747980614,0.35962145110410093,0.3444347063978966,0.3204819277108434,0.3031578947368421,0.3419889502762431,0.3380443086325439,0.3207225630538514,0.3382991930477964,0.3079777365491651,0.34478289047310434,0.3187066974595843,0.34959349593495936,0.33645533141210376,0.38461538461538464,0.31567028985507245,0.2762096774193548,0.3310114237949289,0.331469052945563,0.3584905660377358,0.34299516908212563,0.3409638554216867,0.3358358358358358,0.3094972067039106,0.38022813688212925,0.32596232596232594,0.3402777777777778,0.33708414872798437,0.32282378895119035,0.31433224755700323,0.35514018691588783,0.32919005613472335,0.34349506225848003,0.3619791666666667,0.3243865030674847,0.2967741935483871
4/12/20,555313,11150165,-0.13164709856386847,3563,272,3542,1280,22795,7307,12035,1625,1875,19895,12452,499,1407,20852,7928,1587,1344,1963,20595,633,8225,25475,24244,1621,2781,4269,387,791,2836,929,61850,1245,189033,4570,308,6604,1970,1527,22938,2665,3320,730,5508,13677,2303,727,5274,10609,593,3341,270,65671,39708,287503,67696,1724593,223810,106489,29237,25711,856766,335583,54919,51006,351510,147842,60345,69818,109758,122609,52655,196812,274234,275226,166981,48542,158769,39716,52406,138750,35325,230403,55392,772096,284122,10491,323329,93641,218596,366568,27124,116159,17863,204670,1126445,72520,25671,262717,587302,38158,131409,15499,0.2814569536423841,0.36727272727272725,0.29245647969052224,0.2982142857142857,0.30665148368946343,0.292,0.3199152542372881,0.31560283687943264,0.24598930481283424,0.2965094457650444,0.32816711590296493,0.3288888888888889,0.2647754137115839,0.3068545803971813,0.3040396881644224,0.28807947019867547,0.30434782608695654,0.32054794520547947,0.3426160337552743,0.2703296703296703,0.32967032967032966,0.3287016934433348,0.31019522776572667,0.2998624484181568,0.29345794392523367,0.3163265306122449,0.3010752688172043,0.32653061224489793,0.3391859537110934,0.3016949152542373,0.3031496062992126,0.3247311827956989,0.31157635467980294,0.3187702265372168,0.4368932038834951,0.319672131147541,0.3115151515151515,0.294249022892239,0.3228445563247325,0.3054393305439331,0.30383211678832117,0.2971014492753623,0.3174186778593914,0.31001343391546965,0.3382113821138211,0.3394495412844037,0.32532850022655185,0.31672177609825225,0.3217665615141956,0.302834008097166,0.30434782608695654
4/13/20,580619,11258003,-0.11941987054656061,3734,277,3705,1410,23931,7691,13381,1758,1955,21019,13315,504,1426,22025,8359,1710,1390,2018,21016,698,8936,26867,25635,1621,2942,4515,394,814,2990,985,64584,1262,195749,4886,331,6975,2069,1584,24292,2665,3391,868,5610,14275,2363,748,5747,10635,611,3428,275,66247,40022,290320,68246,1740131,226078,107584,29496,25944,865430,338697,55381,51509,355066,149336,60952,70506,110924,123843,53177,198827,276928,278266,168697,49011,160340,40065,52894,140031,35705,232731,55895,779867,286851,10583,326774,94545,220581,370452,27412,117294,18008,206759,1136539,73167,25893,265404,592576,38548,132814,15657,0.3055555555555556,0.3662420382165605,0.2914447994320199,0.3018181818181818,0.3114944008237868,0.3117283950617284,0.3287671232876712,0.2972972972972973,0.2575107296137339,0.28981994459833793,0.3147077713551702,0.329004329004329,0.3399602385685885,0.30286839145106864,0.3286479250334672,0.34102141680395387,0.3430232558139535,0.2881646655231561,0.29821717990275526,0.3371647509578544,0.339454094292804,0.338158871566444,0.3105263157894737,0.3094405594405594,0.31982942430703626,0.3029917250159134,0.3151862464183381,0.35450819672131145,0.32786885245901637,0.33421052631578946,0.3170103092783505,0.31610337972166996,0.31823446145927164,0.31110296812019056,0.43478260869565216,0.3230769230769231,0.29535398230088494,0.3002518891687657,0.32312049433573636,0.3263888888888889,0.3066079295154185,0.32413793103448274,0.3235998085208234,0.30146621755498315,0.3400309119010819,0.3783783783783784,0.31745441012281356,0.33921122487675387,0.3,0.3217081850533808,0.2468354430379747
4/14/20,607670,11368530,-0.0761533380983832,3953,285,3809,1498,25356,7950,13989,1926,2058,21628,14578,511,1464,23248,8527,1899,1441,2048,21518,735,9472,28164,27001,1695,3087,4746,399,897,3134,922,68824,1345,203020,5113,341,7285,2184,1633,25465,3251,3553,988,5827,15006,2417,752,6182,10799,640,3555,282,66886,40353,293133,68857,1756418,228530,108561,29801,26225,874398,341882,55914,52027,358715,150894,61617,71226,112057,125158,53659,200812,279647,281304,170519,49576,162026,40426,53395,141410,36077,235009,56473,787397,289675,10682,330277,95515,222450,374250,27714,118470,18144,208848,1147194,73811,26089,268066,597943,38930,134295,15795,0.3317683881064163,0.29607250755287007,0.31958762886597936,0.32733224222585927,0.33032479891938354,0.3270799347471452,0.3162743091095189,0.28852459016393445,0.302491103202847,0.3133363068688671,0.32684458398744115,0.30393996247654786,0.33783783783783783,0.3231022197862428,0.35622593068035946,0.3308270676691729,0.32083333333333336,0.33980582524271846,0.31711026615969584,0.34232365145228216,0.3234256926952141,0.3648400147112909,0.32126398946675444,0.32985729967069155,0.2938053097345133,0.35587188612099646,0.3296398891966759,0.3253493013972056,0.30456852791878175,0.32526881720430106,0.33230904302019315,0.31833910034602075,0.3454183266932271,0.313385269121813,0.29292929292929293,0.34313445618041677,0.3319587628865979,0.32423756019261635,0.3446550816219063,0.34105960264900664,0.31462585034013607,0.25735294117647056,0.3384394447103877,0.32003754106053495,0.3695652173913043,0.4030612244897959,0.34936138241923365,0.36146823178684556,0.337696335078534,0.3700202565833896,0.36231884057971014
4/15/20,636350,11483637,-0.12175627894046409,4075,293,3964,1569,26686,7956,14755,2014,2197,22511,14987,524,1473,24593,8960,1995,1504,2210,21951,770,10032,29918,28059,1809,3360,4791,404,901,3211,1139,71030,1484,214454,5340,365,7794,2263,1663,26753,3251,3656,1168,5827,15907,2548,759,6500,10942,702,3721,287,67542,40721,296132,69527,1772851,230810,109793,30107,26539,883728,345273,56401,52553,362490,152603,62291,71978,113313,126569,54231,203085,282568,284829,172352,50150,163642,40849,53983,142719,36453,237530,57035,795236,292693,10786,333941,96440,224368,378273,27988,119750,18322,211087,1157845,74521,26307,270896,603492,39338,135769,15938,0.3079268292682927,0.29891304347826086,0.30110036678892965,0.2880597014925373,0.30292703705957524,0.28464912280701754,0.3189935064935065,0.3464052287581699,0.27070063694267515,0.2903536977491961,0.29637275140076674,0.2792607802874743,0.2870722433460076,0.30251655629139074,0.3130485664131071,0.3026706231454006,0.3071808510638298,0.31687898089171973,0.30120481927710846,0.30244755244755245,0.3132424109106907,0.3327627524820267,0.28113475177304964,0.3142389525368249,0.289198606271777,0.31435643564356436,0.31678486997635935,0.35714285714285715,0.28036669213139803,0.34308510638297873,0.3022610075366918,0.30604982206405695,0.3070544712335757,0.32538104705102716,0.3269230769230769,0.3174126637554585,0.31351351351351353,0.2977059436913452,0.31021625652498136,0.36496350364963503,0.30859375,0.3258426966292135,0.31308619919606967,0.29443244765749693,0.352112676056338,0.3532110091743119,0.3,0.3222202198594341,0.2916666666666667,0.29850746268656714,0.3706293706293706
4/16/20,667592,11601714,-0.08704489443329355,4345,300,4237,1620,27677,8286,15884,2070,2350,23343,15669,530,1587,25734,9542,2141,1615,2435,22532,796,10784,32181,28809,1809,3624,5174,415,952,3214,1139,75317,1484,223691,5639,393,8414,2357,1736,28258,3529,3931,1311,6166,16876,2683,774,6889,11057,728,3875,296,68198,41040,299323,70203,1789759,233414,111046,30419,26812,892969,348541,56927,53094,366425,154303,63129,72768,114574,128020,54784,205208,285500,288417,174180,50716,165436,41230,54503,144168,36852,240043,57562,803434,295728,10883,337565,97410,226482,382403,28325,121096,18517,213420,1168760,75283,26552,273669,609312,39788,137417,16107,0.3079268292682927,0.29153605015673983,0.31526167345659667,0.2958579881656805,0.322273480009463,0.3271889400921659,0.3503591380686353,0.3173076923076923,0.36996336996337,0.3031057244886917,0.3258873929008568,0.3060836501901141,0.30868761552680224,0.3306226175349428,0.3352941176470588,0.3711217183770883,0.3291139240506329,0.3140364789849326,0.30668504479669195,0.3128390596745027,0.3363165332077249,0.36221009549795363,0.31911928651059085,0.33916849015317285,0.2773851590106007,0.33890746934225197,0.3228346456692913,0.33076923076923076,0.33540372670807456,0.3408521303258145,0.3215280541185834,0.286527514231499,0.3261771163698463,0.3242174629324547,0.38144329896907214,0.3195364238410596,0.30721649484536084,0.315042573320719,0.34648910411622275,0.36795252225519287,0.2919762258543834,0.3230769230769231,0.32876125160737246,0.30371049015116813,0.36220472440944884,0.2938775510204082,0.32311575910566176,0.34690721649484535,0.3466666666666667,0.3404126213592233,0.3431952662721893
4/17/20,699706,11696710,-0.08764579561244684,4571,309,4511,1695,29157,8691,16809,2317,2476,24759,17194,541,1609,27578,10154,2332,1730,2522,23118,827,11572,34402,30023,2070,3793,5371,422,1066,3524,1287,78467,1597,230597,6045,393,9107,2465,1785,29888,4177,4099,1411,6263,17849,2793,779,7491,11517,775,4053,305,68735,41276,301842,70764,1803810,235395,111982,30692,27009,900430,351109,57390,53545,369630,155601,63773,73388,115584,129194,55182,206884,287779,291124,175771,51184,166876,41573,54913,145340,37154,242112,58037,810025,298127,10964,340369,98175,228240,385693,28573,122066,18625,215165,1178028,75890,26753,275891,613885,40122,138801,16240,0.3091247672253259,0.3220338983050847,0.31202858277094087,0.3600713012477718,0.31471069674756247,0.3255931347804139,0.3333333333333333,0.3333333333333333,0.25888324873096447,0.3112183353437877,0.3134735202492212,0.3347732181425486,0.3259423503325942,0.34446177847113885,0.31278890600924497,0.33229813664596275,0.3016129032258065,0.30198019801980197,0.32964224872231684,0.32914572864321606,0.33591885441527447,0.3488372093023256,0.3298854820834873,0.3406662476429918,0.32051282051282054,0.3215277777777778,0.27696793002915454,0.33414634146341465,0.2841296928327645,0.31125827814569534,0.3209279845335911,0.30736842105263157,0.3246851767561827,0.3363901625677366,0.3333333333333333,0.35841654778887305,0.3254901960784314,0.2974971558589306,0.331306990881459,0.38306451612903225,0.32783505154639175,0.32407407407407407,0.3111747851002865,0.3116098403107467,0.3673805601317957,0.2885572139303483,0.33888388838883887,0.3336977913842117,0.36826347305389223,0.3143063583815029,0.3684210526315789
4/18/20,727959,11803450,-0.09301105489975642,4712,314,4724,1744,30491,9047,17550,2538,2666,25492,17669,574,1655,29160,10641,2513,1821,2707,23580,847,12326,36372,30791,2209,3974,5579,426,1249,3626,1342,81420,1798,237474,6328,528,10222,2465,1844,31652,4491,4248,1542,6589,18704,2917,803,8053,11776,785,4199,309,69350,41594,304693,71327,1819913,237621,113105,31016,27209,909107,354060,57909,54016,373148,157011,64477,74033,116669,130434,55664,208732,290411,294105,177459,51661,168442,41939,55408,146753,37516,244472,58568,817408,300850,11060,343570,99058,230390,389465,28853,123180,18752,217165,1188033,76523,27013,278388,618747,40488,140267,16418,0.34959349593495936,0.29245283018867924,0.32094002104524727,0.30017761989342806,0.317456374588586,0.33513027852650495,0.3107747105966162,0.3117283950617284,0.35,0.31266566785755445,0.33276855303287023,0.3217726396917148,0.3099787685774947,0.3413871517907902,0.3347517730496454,0.3565340909090909,0.31627906976744186,0.32903225806451614,0.3153225806451613,0.3236514522821577,0.32846320346320346,0.33890577507598785,0.32572962093257296,0.30924170616113744,0.3270440251572327,0.33524904214559387,0.3114754098360656,0.3151515151515151,0.3057324840764331,0.3287292817679558,0.3042372881355932,0.3032015065913371,0.3260192333739672,0.3301505692251194,0.2604166666666667,0.32771009059668854,0.3272933182332956,0.3116279069767442,0.3337751855779427,0.3464285714285714,0.3500897666068223,0.33070866141732286,0.3335,0.31624187906046974,0.2843601895734597,0.35384615384615387,0.3315979175010012,0.32311805841217606,0.33879781420765026,0.3199181446111869,0.3089887640449438
4/19/20,754376,11914743,-0.10209986252504649,4888,319,4933,1781,31431,9730,17962,2538,2793,26314,18301,580,1668,30357,11211,2902,1905,2960,23928,867,12847,38077,31424,2356,4274,5743,433,1474,3728,1390,85301,1845,243382,6601,585,11602,2567,1910,32902,4706,4377,1635,7070,19260,3069,813,8542,11978,890,4346,313,69968,41936,307743,71971,1836235,240134,114195,31352,27426,917868,357238,58432,54498,376699,158565,65155,74770,117842,131661,56171,210709,293161,297328,179196,52225,170091,42347,55930,148222,37894,246935,59142,825126,303717,11182,346938,99949,232544,393230,29183,124427,18910,219349,1198605,77233,27283,280992,623787,40896,141781,16572,0.33818770226537215,0.28362573099415206,0.30393442622950817,0.327639751552795,0.3117265041048891,0.31516116195781935,0.3321100917431193,0.30654761904761907,0.28110599078341014,0.3184567971692729,0.3146633102580239,0.3154875717017208,0.33195020746887965,0.30554773303294847,0.2947232947232947,0.3215339233038348,0.32700135685210313,0.3034953111679454,0.306438467807661,0.31952662721893493,0.30652503793626706,0.3378181818181818,0.33881476884889855,0.330454807138745,0.3333333333333333,0.33050333535476045,0.29901960784313725,0.3218390804597701,0.31109598366235536,0.2962962962962963,0.31952902963865204,0.3170731707317073,0.33259911894273125,0.31426578304848274,0.30327868852459017,0.3227434679334917,0.29854096520763185,0.31337047353760444,0.3065073041168659,0.3090909090909091,0.3231756214915798,0.34177215189873417,0.3008241758241758,0.31696935300794554,0.3492957746478873,0.2740740740740741,0.31797235023041476,0.333531746031746,0.3014705882352941,0.3011889035667107,0.3116883116883117
4/20/20,779682,12036379,-0.13629188727021607,5079,321,5068,1973,33686,9730,19815,2745,2927,27059,19407,584,1672,31513,11688,3159,2048,3050,24523,875,13684,38077,32000,2470,4512,5890,433,1648,3830,1447,88722,1971,248416,6895,627,12919,2680,1957,33914,5090,4446,1685,7238,19751,3213,816,8990,12114,902,4499,317,70636,42246,310969,72641,1854250,243068,115419,31695,27673,927045,361224,59010,55034,380686,160248,65947,75538,119065,133097,56741,212996,296287,300878,181058,52720,171735,42735,56461,149645,38289,249638,59747,833457,306792,11298,350665,100926,234802,397593,29484,125734,19052,221691,1209826,77987,27527,283916,629803,41291,143399,16715,0.2964071856287425,0.27741935483870966,0.29417234965902045,0.2955223880597015,0.30768803774632253,0.3227675528289025,0.30718954248366015,0.30029154518950435,0.3481781376518219,0.2923613381279285,0.3103361766181636,0.3391003460207612,0.30597014925373134,0.3077501881113619,0.31194295900178254,0.3005050505050505,0.3033854166666667,0.30335241210139,0.32172701949860727,0.3,0.35155225185832967,0.34133077415227125,0.3205633802816901,0.3174006444683136,0.2868686868686869,0.3029197080291971,0.2809278350515464,0.3540489642184557,0.3056921995783556,0.3189873417721519,0.2967073621901591,0.30413223140495865,0.3125675189052935,0.2972357723577236,0.3448275862068966,0.3064126643412933,0.3428863868986694,0.29096545615589015,0.30300252120100846,0.34551495016611294,0.29839326702371843,0.29577464788732394,0.32707087959009395,0.29738882452544335,0.3010610079575597,0.3155737704918033,0.31532147742818056,0.31748670212765956,0.28354430379746837,0.30778739184178,0.2937062937062937
4/21/20,807023,12154141,-0.08827125897997656,5317,329,5256,1990,35465,10473,20360,2931,3098,27869,19881,586,1736,33059,12097,3641,2164,3204,24854,888,14193,41199,32667,2567,4716,6066,437,1685,3937,1490,92387,1971,253519,7134,644,13725,2807,2004,35249,5500,4439,1755,7394,20574,3297,818,9630,12392,908,4625,443,71315,42578,314213,73284,1870900,245534,116564,32052,27915,935952,365465,59573,55549,384611,161873,66706,76278,120332,134552,57349,215191,299301,304222,182790,53252,173406,43135,57005,151049,38731,252212,60367,841516,309892,11408,354178,101819,236925,401795,29750,126983,19190,223978,1220704,78787,27765,286815,635761,41678,145073,16868,0.30633284241531666,0.3614457831325301,0.2974722564734895,0.31259720062208396,0.3246846846846847,0.32319545823195456,0.32489082969432315,0.28291316526610644,0.3305785123966942,0.3104299988772875,0.2874322093845791,0.29307282415630553,0.32427184466019415,0.33681528662420385,0.35323076923076924,0.31357048748353095,0.2945945945945946,0.32202052091554856,0.3422680412371134,0.3256578947368421,0.3662870159453303,0.34638354346383543,0.3427033492822967,0.3094688221709007,0.35150375939849626,0.3201675643327349,0.2875,0.3713235294117647,0.31125356125356124,0.38687782805429866,0.32944832944832947,0.2838709677419355,0.32882491624271004,0.3270967741935484,0.3181818181818182,0.3250782806717905,0.3292273236282195,0.3080546396608573,0.3238933841028082,0.39849624060150374,0.2962369895916733,0.34057971014492755,0.3620463489287276,0.31963596249310533,0.365,0.29831932773109243,0.34115212142117973,0.3440751930177912,0.3669250645994832,0.33154121863799285,0.3202614379084967
4/22/20,835150,12278758,-0.06498310824365855,5593,335,5473,2276,37344,10891,22469,3200,3206,28309,21214,592,1766,35107,12438,3748,2331,3378,25258,907,14775,42944,33966,2722,4894,6277,439,1813,4081,1588,95914,2210,258222,7495,679,14117,2894,2059,36082,5841,4761,1858,7394,21321,3445,823,10266,12596,939,4845,447,71984,42908,317325,74043,1889489,248025,117819,32408,28180,945472,369231,60210,56061,388668,163577,67530,77084,121619,136098,57937,217443,302469,307643,184652,53873,175138,43528,57574,152691,39177,254910,60944,849931,313138,11515,357973,102884,239372,406030,30090,128348,19361,226288,1232635,79579,28052,289909,642030,42085,146811,17017,0.351270553064275,0.30606060606060603,0.3245501285347044,0.34782608695652173,0.34100812308354406,0.33480529907667606,0.3697211155378486,0.32303370786516855,0.3320754716981132,0.3186974789915966,0.34492830589484863,0.31711145996860285,0.296875,0.3606112891298989,0.34624413145539906,0.3470873786407767,0.34739454094292804,0.358974358974359,0.3486416558861578,0.2891156462585034,0.3543516873889876,0.3734217171717172,0.3341128325051155,0.36466165413533835,0.3832528180354267,0.32390300230946883,0.2900763358778626,0.3602811950790861,0.3233861144945189,0.3430493273542601,0.3491475166790215,0.3188908145580589,0.34248366013071896,0.3496611213801602,0.35514018691588783,0.34071146245059286,0.3126760563380282,0.32325296281160604,0.3409681227863046,0.34705882352941175,0.3347985347985348,0.30409356725146197,0.35324675324675325,0.344313133852988,0.3611111111111111,0.3554006968641115,0.34680025856496444,0.35922794704099537,0.3783783783783784,0.32681242807825084,0.31543624161073824
4/23/20,869170,12405864,-0.03321637058832788,5832,337,5772,2599,39561,11278,23100,3308,3361,29648,21883,596,1836,36937,13039,3924,2721,3479,25739,937,15737,46023,35296,2942,5153,6506,442,2202,4208,1670,100025,2379,263460,7820,709,14694,3017,2127,38379,6256,4917,1956,8266,22650,3612,825,10998,12753,981,5052,453,72710,43240,320629,74809,1907820,250632,119133,32764,28443,955059,373107,60768,56657,393051,165329,68337,77860,123031,137582,58536,219746,305598,311093,186643,54445,177013,43941,58106,154347,39603,257601,61618,858718,316826,11630,362041,103912,241685,410375,30428,129678,19497,228780,1244618,80384,28325,293023,648490,42497,148516,17190,0.32231404958677684,0.3463855421686747,0.34836561743341404,0.31462140992167104,0.36015492880912114,0.3640199462984273,0.3462709284627093,0.37640449438202245,0.34980988593155893,0.3369145718160008,0.36119711042311664,0.3763440860215054,0.32550335570469796,0.35728952772073924,0.3778538812785388,0.35315985130111527,0.3904639175257732,0.37606232294617564,0.37129380053908356,0.37061769616026713,0.3868866695614416,0.3899009268136785,0.3620289855072464,0.37769964841788045,0.34615384615384615,0.36746666666666666,0.34624697336561744,0.34962406015037595,0.3417874396135266,0.3544600938967136,0.35377183203270157,0.3649851632047478,0.3587117332422897,0.3779826464208243,0.2956521739130435,0.36258603736479844,0.3521400778210117,0.34716817985300474,0.34154200230149595,0.3757396449704142,0.34285714285714286,0.3602941176470588,0.3543338683788122,0.35475256613535844,0.368944099378882,0.31868131868131866,0.3686576750160565,0.369969040247678,0.3470873786407767,0.3683284457478006,0.36416184971098264
4/24/20,905358,12522221,-0.07803570047354264,6026,339,6045,2810,41355,12256,23936,3442,3528,30533,22491,601,1870,39658,13681,4445,2959,3779,26140,965,16616,50969,36666,3185,5434,6788,444,2424,4398,1720,102196,2521,271590,8290,748,15169,3121,2177,40208,6699,5070,2040,8728,23642,3782,827,11594,12977,1010,5356,473,73315,43569,323659,75491,1925144,253170,120331,33111,28706,963989,376471,61310,57146,397006,166899,69063,78654,124296,138857,59067,221931,308547,314420,188500,54970,178778,44316,58665,155676,39970,260139,62246,866845,319854,11708,365613,104890,243928,414412,30711,130881,19640,230913,1255130,81078,28589,295888,654470,42899,150045,17315,0.3256198347107438,0.3130699088145897,0.3102310231023102,0.32111436950146627,0.3270607250057723,0.3333333333333333,0.31636060100166946,0.276657060518732,0.3231939163498099,0.3067189249720045,0.3323424494649227,0.3173431734317343,0.2658486707566462,0.3352718078381795,0.3267515923566879,0.36363636363636365,0.3526448362720403,0.3256916996047431,0.34509803921568627,0.2711864406779661,0.3194508009153318,0.3550356052899288,0.3396453261196273,0.32740980075390413,0.3295238095238095,0.311614730878187,0.3333333333333333,0.3667262969588551,0.3002257336343115,0.3242506811989101,0.33687943262411346,0.3248407643312102,0.33554817275747506,0.3252972258916777,0.41025641025641024,0.3323068309070549,0.3006134969325153,0.3071778867588052,0.3358929898439435,0.2862190812720848,0.3266832917705736,0.3146853146853147,0.326769807782466,0.3190639269406393,0.3515850144092219,0.32575757575757575,0.33647469458987783,0.34096989966555186,0.29850746268656714,0.33485938521909747,0.312
4/25/20,938154,12637084,-0.13654527567624036,6026,339,6286,2911,42368,12968,24583,3576,3699,30839,23222,605,1887,41777,14399,5092,3135,3915,26512,965,17766,53348,37074,3446,5718,6935,445,2719,4539,1797,105498,2660,282143,8768,803,15587,3194,2253,41153,7129,5253,2147,9189,24153,3948,843,12366,13319,1010,5687,491,73985,43896,326800,76182,1943068,255482,121472,33443,28921,973100,379757,61818,57707,400932,168455,69788,79346,125570,140144,59618,224028,311334,317544,190149,55467,180476,44686,59171,157103,40322,262767,62869,874596,322927,11793,368974,105857,246053,418277,31009,132051,19790,233184,1265880,81727,28831,298616,659872,43280,151500,17467,0.3,0.28134556574923547,0.2932187201528176,0.2894356005788712,0.3007699174291453,0.29282006920415227,0.32252410166520595,0.25903614457831325,0.29767441860465116,0.2785643727362529,0.315581253804017,0.297244094488189,0.3226381461675579,0.32755985736118187,0.31876606683804626,0.3213793103448276,0.3468208092485549,0.30141287284144425,0.3006993006993007,0.2885662431941924,0.3137815927515498,0.32866881951919624,0.30697823303457106,0.30321406913280774,0.29577464788732394,0.2944640753828033,0.3108108108108108,0.2924901185770751,0.3055360896986685,0.33238636363636365,0.326103500761035,0.33386837881219905,0.3080892788027351,0.30296127562642367,0.32941176470588235,0.3198452841416245,0.30610134436401243,0.31058823529411766,0.3164294954721863,0.31543624161073824,0.28376068376068375,0.3,0.2888595332452664,0.2951627906976744,0.3035439137134052,0.30991735537190085,0.3031524926686217,0.3111810440577564,0.33858267716535434,0.2831615120274914,0.26973684210526316
