Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-10,USA Total,502876,,18747,,456815,1519,57,2538888,7670, 
2020-04-10,"
New York ",172358,"
","
7,844 ", ,"
148,280 ",8786,400,"
417,885 ",21301,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-10,"
New Jersey ",54588,"
","
1,932 ", ,"
51,974 ",6146,218,"
113,523 ",12781,"
[1] [2]  "
2020-04-10,"
Michigan ",22783,"
","
1,281 ", ,"
21,433 ",2288,129,"
72,044 ",7235,"
[1] [2] [3]  "
2020-04-10,"
California ",21073,"
","
584 ", ,"
19,549 ",538,15,"
164,863 ",4211,"
[1] [2] [3]  "
2020-04-10,"
Massachusetts ",20974,"
","
599 ", ,"
20,365 ",3071,88,"
102,372 ",14988,"
[1] [2]  "
2020-04-10,"
Pennsylvania ",20340,"
","
446 ", ,"
19,724 ",1590,35,"
113,019 ",8836,"
[1] [2] [3] [4]  "
2020-04-10,"
Louisiana ",19253,"
","
755 ", ,"
18,448 ",4128,162,"
92,280 ",19787,"
[1]  "
2020-04-10,"
Florida ",17968,"
","
419 ", ,"
17,449 ",872,20,"
167,141 ",8114,"
[1] [2]  "
2020-04-10,"
Illinois ",17887,"
","
596 ", ,"
17,241 ",1395,46,"
87,527 ",6827,"
[1] [2] [3] [4]  "
2020-04-10,"
Texas ",12186,"
","
248 ", ,"
10,353 ",437,9,"
115,918 ",4157,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-10,"
Georgia ",11859,"
","
425 ", ,"
11,403 ",1152,41,"
46,147 ",4481,"
[1] [2] [3]  "
2020-04-10,"
Connecticut ",10538,"
","
448 ", ,"
10,040 ",2942,125,"
33,502 ",9354,"
[1] [2]  "
2020-04-10,"
Washington ",10195,"
","
483 ", ,"
8,638 ",1398,66,"
92,999 ",12749,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
