Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-15,USA Total,644348,259,28554,25,567086,1947,86,3258879,9845, 
2020-04-15,"
New York ",214648,"
","
11,586 ", ,"
179,175 ",10941,591,"
526,012 ",26812,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-15,"
New Jersey ",71030,"
","
3,156 ", ,"
66,603 ",7997,355,"
146,640 ",16510,"
[1] [2]  "
2020-04-15,"
Massachusetts ",29918,"
","
1,108 ", ,"
28,081 ",4380,162,"
132,023 ",19329,"
[1] [2]  "
2020-04-15,"
Michigan ",28059,"
","
1,921 ", ,"
25,695 ",2818,193,"
92,483 ",9288,"
[1] [2] [3]  "
2020-04-15,"
California ",27097,"
+259 ","
889 ",25,"
24,858 ",692,23,"
215,400 ",5502,"
[1] [2] [3]  "
2020-04-15,"
Pennsylvania ",26753,"
","
779 ", ,"
25,324 ",2092,61,"
137,584 ",10756,"
[1] [2] [3] [4] [5] [6]  "
2020-04-15,"
Illinois ",24593,"
","
948 ", ,"
23,595 ",1918,74,"
116,929 ",9120,"
[1] [2] [3] [4]  "
2020-04-15,"
Florida ",22519,"
","
614 ", ,"
21,261 ",1093,30,"
215,158 ",10446,"
[1] [2]  "
2020-04-15,"
Louisiana ",21951,"
","
1,103 ", ,"
20,798 ",4707,237,"
121,928 ",26145,"
[1]  "
2020-04-15,"
Texas ",16009,"
","
375 ", ,"
12,484 ",574,13,"
151,810 ",5444,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-15,"
Georgia ",15260,"
","
576 ", ,"
14,653 ",1482,56,"
64,099 ",6225,"
[1] [2] [3]  "
2020-04-15,"
Connecticut ",14755,"
","
868 ", ,"
13,822 ",4120,242,"
50,143 ",14001,"
[1] [2]  "
2020-04-15,"
Washington ",10910,"
","
567 ", ,"
8,865 ",1496,78,"
122,854 ",16842,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-15,"
Maryland ",10032,"
","
349 ", ,"
9,076 ",1671,58,"
55,763 ",9289,"
[1]  "
2020-04-15,"
Indiana ",8955,"
","
436 ", ,"
8,505 ",1349,66,"
48,396  ",7291,"
[1] [2]  "
2020-04-15,"
Colorado ",8280,"
","
357 ", ,"
7,425 ",1497,65,"
40,533 ",7328,"
[1]  "
2020-04-15,"
Ohio ",7791,"
","
361 ", ,"
7,310 ",669,31,"
71,552 ",6146,"
[1] [2] [3] [4]  "
2020-04-15,"
Virginia ",6500,"
","
195 ", ,"
5,584 ",773,23,"
44,169 ",5250,"
[1] [2]  "
2020-04-15,"
Tennessee ",6079,"
","
135 ", ,"
3,748 ",914,20,"
80,896 ",12163,"
[1] [2] [3]  "
2020-04-15,"
North Carolina ",5381,"
","
132 ", ,"
4,366 ",530,13,"
67,827 ",6679,"
[1] [2] [3]  "
2020-04-15,"
Missouri ",4895,"
","
159 ", ,"
4,552 ",804,26,"
48,803 ",8014,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-15,"
Alabama ",4241,"
","
123 ", ,"
4,098 ",872,25,"
34,077 ",7005,"
[1]  "
2020-04-15,"
Arizona ",3962,"
","
142 ", ,"
3,750 ",570,20,"
45,310 ",6523,"
[1]  "
2020-04-15,"
Wisconsin ",3721,"
","
182 ", ,"
3,452 ",644,31,"
43,047 ",7450,"
[1] [2] [3] [4] [5] [6]  "
2020-04-15,"
South Carolina ",3656,"
","
107 ", ,"
3,549 ",738,22,"
34,733 ",7008,"
[1] [2]  "
2020-04-15,"
Rhode Island ",3529,"
","
87 ", ,"
3,432 ",3340,82,"
25,897 ",24509,"
[1] [2] [3]  "
2020-04-15,"
Mississippi ",3360,"
","
122 ", ,"
3,238 ",1124,41,"
37,773 ",12638,"
[1]  "
2020-04-15,"
Nevada ",3211,"
","
136 ", ,"
 1,906 ",1099,47,"
33,437 ",11440,"
[1] [2]  "
2020-04-15,"
Utah ",2542,"
","
20 ", ,"
2,304 ",835,7,"
47,614 ",15635,"
[1]  "
2020-04-15,"
Kentucky ",2291,"
","
122 ", ,"
1,863 ",516,27,"
28,324 ",6379,"
[1]  "
2020-04-15,"
Oklahoma ",2263,"
","
123 ", ,"
985 ",578,31,"
29,098 ",7426,"
[1] [2]  "
2020-04-15,"
District Of Columbia ",2197,"
","
72 ", ,"
1,595 ",3210,105,"
11,525 ",16837,"
[1]  "
2020-04-15,"
Delaware ",2014,"
","
46 ", ,"
1,614 ",2121,48,"
13,102 ",13799,"
[1]  "
2020-04-15,"
Iowa ",1995,"
","
53 ", ,"
1,201 ",637,17,"
19,869 ",6343,"
[1] [2]  "
2020-04-15,"
Minnesota ",1809,"
","
87 ", ,"
782 ",327,16,"
40,242 ",7281,"
[1] [2]  "
2020-04-15,"
Oregon ",1663,"
","
58 ", ,"
1,605 ",407,14,"
33,351 ",8170,"
[1] [2]  "
2020-04-15,"
Arkansas ",1599,"
","
34 ", ,"
1,056 ",535,11,"
22,289 ",7453,"
[1]  "
2020-04-15,"
Idaho ",1587,"
","
41  ", ,"
1,522 ",940,24,"
15,398 ",9123,"
[1] [2]  "
2020-04-15,"
Kansas ",1494,"
","
76 ", ,"
1,178 ",514,26,"
14,668 ",5043,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-15,"
New Mexico ",1484,"
","
36 ", ,"
1,153 ",709,17,"
33,394 ",15959,"
[1]  "
2020-04-15,"
South Dakota ",1168,"
","
6 ", ,"
833 ",1351,7,"
9,859 ",11407,"
[1]  "
2020-04-15,"
New Hampshire ",1139,"
","
32 ", ,"
742 ",848,24,"
12,166 ",9055,"
[1]  "
2020-04-15,"
Nebraska ",952,"
","
21 ", ,"
909 ",500,11,"
12,324 ",6470,"
[1] [2]  "
2020-04-15,"
Maine ",770,"
","
24 ", ,"
441 ",578,18,"
14,846 ",11139,"
[1] [2]  "
2020-04-15,"
Vermont ",759,"
","
30 ", ,"
729 ",1214,48,"
11,081 ",17730,"
[1]  "
2020-04-15,"
West Virginia ",718,"
","
12 ", ,"
559 ",393,7,"
17,821 ",9743,"
[1]  "
2020-04-15,"
Hawaii ",530,"
","
9 ", ,"
162 ",373,6,"
20,812 ",14635,"
[1] [2]  "
2020-04-15,"
Montana ",404,"
","
7 ", ,"
188 ",388,7,"
9,583 ",9199,"
[1] [2] [3]  "
2020-04-15,"
North Dakota ",365,"
","
9 ", ,"
214 ",485,12,"
11,317 ",15045,"
[1]  "
2020-04-15,"
Alaska ",293,"
","
9 ", ,"
178 ",397,12,"
8,483 ",11487,"
[1]  "
2020-04-15,"
Wyoming ",288,"
","
2 ", ,"
110 ",495,3,"
6,129 ",10534,"
[1] [2]  "
2020-04-15,"
Guam ",135,"
","
5 ", ,"
57 ",,,"
605
",,"
[1]  "
2020-04-15,"
Northern Mariana Islands ",13,"
","
2 ", ,"
11 ",,,"
45
",,"
[1]  "
2020-04-15,"
Puerto Rico ",974,"
","
51 ", ,"
919 ",288,15,"
9,209
",2719,"
[1] [2] [3]  "
2020-04-15,"
United States Virgin Islands ",51,"
","
1 ", ,"
6 ",,,"
400
",,"
[1]  "
2020-04-15,"
US Military ",4766,"
","
17 ", ,"
4,011 ",,,"
",,"
[1]  "
2020-04-15,"
Navajo Nation ",838,"
","
33 ", ,"
805 ",,,"
",,"
[1]  "
2020-04-15,"
Grand Princess Ship ",103,"
","
3 ", ,"
100 ",,,"
",,"
[1]  "
2020-04-15,"
Wuhan Repatriated ",3,"
","
", ,"
3 ",,,"
3
",,"
"
2020-04-15,"
Diamond Princess Ship ",46,"
","
", ,"
46 ",,,"
46
",,"
"
2020-04-15,Total:,644348,259,28554,25,567086,1947,86,3258879,9845, 
