Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-06,USA Total,367650,646,10943,72,336897,1111,33,1933423,5841, 
2020-04-06,"
New York ",131916,"
","
4,758 ", ,"
113,792 ",6724,243,"
320,811 ",16353,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-06,"
New Jersey ",41090,"
","
1,003 ", ,"
39,995 ",4626,113,"
89,032 ",10024,"
[1] [2]  "
2020-04-06,"
Michigan ",17221,"
","
727 ", ,"
16,425 ",1729,73,"
45,748 ",4594,"
[1] [2] [3]  "
2020-04-06,"
California ",16363,"
+344 ","
387 ",7,"
15,076 ",418,10,"
129,700 ",3313,"
[1] [2]  "
2020-04-06,"
Louisiana ",14867,"
","
512 ", ,"
14,305 ",3188,110,"
69,166 ",14831,"
[1]  "
2020-04-06,"
Massachusetts ",13837,"
","
260  ", ,"
13,567 ",2026,38,"
76,429 ",11190,"
[1] [2]  "
2020-04-06,"
Florida ",13629,"
","
254 ", ,"
13,275 ",662,12,"
126,048 ",6119,"
[1] [2]  "
2020-04-06,"
Pennsylvania ",13127,"
","
179 ", ,"
12,872 ",1026,14,"
83,854 ",6556,"
[1] [2] [3] [4]  "
2020-04-06,"
Illinois ",12262,"
","
307 ", ,"
11,905 ",956,24,"
62,942 ",4909,"
[1] [2] [3] [4]  "
2020-04-06,"
Washington ",8384,"
+58 ","
381 ", ,"
7,164 ",1149,52,"
91,375 ",12527,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-06,"
Texas ",8088,"
","
151 ", ,"
7,179 ",290,5,"
85,357 ",3061,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-06,"
Georgia ",7558,"
+244 ","
294 ",65,"
7,233 ",734,29,"
31,274 ",3037,"
[1] [2] [3]  "
2020-04-06,"
Connecticut ",6906,"
","
206 ", ,"
6,650 ",1928,58,"
26,686 ",7451,"
[1] [2] [3]  "
2020-04-06,"
Colorado ",5172,"
","
150 ", ,"
4,982 ",935,27,"
26,875 ",4859,"
[1]  "
2020-04-06,"
Indiana ",4944,"
","
139 ", ,"
4,791 ",745,21,"
26,191 ",3946,"
[1] [2]  "
2020-04-06,"
Ohio ",4450,"
","
142 ", ,"
4,308 ",382,12,"
48,378 ",4156,"
[1]  "
2020-04-06,"
Maryland ",4045,"
","
91 ", ,"
3,770 ",674,15,"
29,617 ",4933,"
[1]  "
2020-04-06,"
Tennessee ",3802,"
","
65 ", ,"
3,381 ",572,10,"
47,350 ",7119,"
[1] [2] [3] [4]  "
2020-04-06,"
North Carolina ",3039,"
","
48 ", ,"
2,905 ",299,5,"
40,726 ",4010,"
[1] [2]  "
2020-04-06,"
Virginia ",2878,"
","
54 ", ,"
2,822 ",342,6,"
24,521 ",2914,"
[1]  "
2020-04-06,"
Missouri ",2722,"
","
52 ", ,"
2,658 ",447,9,"
27,173 ",4462,"
[1] [2] [3] [4]  "
2020-04-06,"
Arizona ",2456,"
","
65 ", ,"
2,371 ",354,9,"
32,534 ",4683,"
[1]  "
2020-04-06,"
Wisconsin ",2440,"
","
77 ", ,"
2,361 ",422,13,"
29,014 ",5021,"
[1] [2] [3] [4]  "
