Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-24,USA Total,925758,526,52217,24,763109,2797,158,5037473,15219, 
2020-04-24,"
New York ",277445,"
","
21,291 ", ,"
224,936 ",14142,1085,"
730,656 ",37243,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-24,"
New Jersey ",102196,"
","
5,617 ", ,"
95,308 ",11506,632,"
205,921 ",23184,"
[1] [2] [3]  "
2020-04-24,"
Massachusetts ",50969,"
","
2,556 ", ,"
40,295 ",7462,374,"
215,213 ",31509,"
[1] [2]  "
2020-04-24,"
California ",41338,"
+526 ","
1,618 ",24,"
36,383 ",1056,41,"
494,173 ",12623,"
[1] [2] [3] [4]  "
2020-04-24,"
Pennsylvania ",40149,"
","
1,736 ", ,"
37,763 ",3139,136,"
186,143 ",14552,"
[1] [2] [3] [4] [5] [6]  "
2020-04-24,"
Illinois ",39658,"
","
1,795 ", ,"
37,257 ",3093,140,"
189,632 ",14790,"
[1] [2] [3] [4]  "
2020-04-24,"
Michigan ",36641,"
","
3,085 ", ,"
30,284 ",3680,310,"
140,130 ",14073,"
[1] [2] [3]  "
2020-04-24,"
Florida ",30533,"
","
1,046 ", ,"
28,801 ",1482,51,"
320,984 ",15583,"
[1] [2]  "
2020-04-24,"
Louisiana ",26140,"
","
1,660 ", ,"
9,553 ",5605,356,"
142,056 ",30460,"
[1] [2]  "
2020-04-24,"
Connecticut ",23921,"
","
1,764 ", ,"
22,092 ",6679,493,"
74,038 ",20672,"
[1] [2]  "
2020-04-24,"
Texas ",23170,"
","
601 ", ,"
14,544 ",831,22,"
242,547 ",8698,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-24,"
Georgia ",22491,"
","
899 ", ,"
21,561 ",2184,87,"
107,176 ",10408,"
[1] [2] [3]  "
2020-04-24,"
Maryland ",16616,"
","
798 ", ,"
14,710 ",2768,133,"
 84,716 ",14111,"
[1]  "
2020-04-24,"
Ohio ",15169,"
","
690 ", ,"
14,359 ",1303,59,"
107,109 ",9200,"
[1] [2] [3]  "
2020-04-24,"
Indiana ",13680,"
","
741 ", ,"
12,925 ",2061,112,"
75,553 ",11383,"
[1] [2]  "
2020-04-24,"
Washington ",13176,"
","
723 ", ,"
10,646 ",1806,99,"
160,324 ",21979,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-24,"
Colorado ",12256,"
","
674 ", ,"
11,023 ",2216,122,"
56,789 ",10267,"
[1]  "
2020-04-24,"
Virginia ",11594,"
","
410 ", ,"
9,512 ",1378,49,"
69,015 ",8203,"
[1] [2]  "
2020-04-24,"
Tennessee ",8726,"
","
168 ", ,"
4,188 ",1312,25,"
131,298 ",19741,"
[1] [2] [3] [4]  "
2020-04-24,"
North Carolina ",8250,"
","
293 ", ,"
6,655 ",812,29,"
100,584 ",9904,"
[1] [2] [3] [4]  "
2020-04-24,"
Rhode Island ",6699,"
","
202 ", ,"
6,155 ",6340,191,"
47,257 ",44725,"
[1] [2] [3]  "
2020-04-24,"
Missouri ",6694,"
","
267 ", ,"
5,880 ",1099,44,"
67,017 ",11004,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-24,"
Arizona ",6045,"
","
266 ", ,"
5,709 ",870,38,"
60,714 ",8740,"
[1]  "
2020-04-24,"
Alabama ",6026,"
","
209 ", ,"
5,797 ",1239,43,"
52,641 ",10821,"
[1]  "
2020-04-24,"
Mississippi ",5434,"
","
209 ", ,"
5,225 ",1818,70,"
55,389 ",18532,"
[1] [2]  "
2020-04-24,"
Wisconsin ",5356,"
","
262 ", ,"
2,781 ",927,45,"
59,929 ",10371,"
[1] [2] [3] [4] [5] [6]  "
2020-04-24,"
South Carolina ",5070,"
","
157 ", ,"
1,212 ",1023,32,"
46,996 ",9483,"
[1] [2]  "
2020-04-24,"
Iowa ",4445,"
","
107 ", ,"
2,734 ",1419,34,"
31,973 ",10207,"
[1] [2]  "
2020-04-24,"
Nevada ",4398,"
","
197 ", ,"
2,360 ",1505,67,"
44,487 ",15220,"
[1] [2]  "
2020-04-24,"
Utah ",3782,"
","
39 ", ,"
2,855 ",1242,13,"
84,697 ",27812,"
[1]  "
