Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-08,USA Total,435160,233,14797,9,397472,1315,45,2226116,6725, 
2020-04-08,"
New York ",151171,"
","
6,268 ", ,"
130,323 ",7706,319,"
365,153 ",18613,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-08,"
New Jersey ",47437,"
","
1,504 ", ,"
45,841 ",5341,169,"
100,326 ",11296,"
[1] [2]  "
2020-04-08,"
Michigan ",20346,"
","
959 ", ,"
19,318 ",2043,96,"
51,708 ",5193,"
[1] [2] [3]  "
2020-04-08,"
California ",19063,"
+233 ","
507 ",9,"
17,616 ",487,13,"
154,733 ",3952,"
[1] [2]  "
2020-04-08,"
Louisiana ",17030,"
","
652 ", ,"
16,328 ",3652,140,"
81,406 ",17456,"
[1]  "
2020-04-08,"
Massachusetts ",16790,"
","
433 ", ,"
16,347 ",2458,63,"
87,511 ",12812,"
[1] [2]  "
2020-04-08,"
Pennsylvania ",16743,"
","
314 ", ,"
16,295 ",1309,25,"
98,538 ",7704,"
[1] [2] [3] [4]  "
2020-04-08,"
 Florida ",15698,"
","
323 ", ,"
15,275 ",762,16,"
144,570 ",7019,"
[1] [2]  "
2020-04-08,"
Illinois ",15078,"
","
462 ", ,"
14,566 ",1176,36,"
75,066 ",5855,"
[1] [2] [3] [4]  "
2020-04-08,"
Georgia ",10204,"
","
370 ", ,"
9,803 ",991,36,"
38,787 ",3767,"
[1] [2] [3]  "
2020-04-08,"
Texas ",10065,"
","
195 ", ,"
9,100 ",361,7,"
96,258 ",3452,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
2020-04-08,"
Washington ",9342,"
","
431 ", ,"
7,997 ",1281,59,"
92,073 ",12623,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-08,"
Connecticut ",8781,"
","
335 ", ,"
8,396 ",2452,94,"
31,700 ",8851,"
[1] [2] [3]  "
2020-04-08,"
Indiana ",5943,"
","
203 ", ,"
5,726 ",895,31,"
30,869 ",4651,"
[1] [2]  "
2020-04-08,"
Colorado ",5655,"
","
193 ", ,"
5,422 ",1022,35,"
29,199 ",5279,"
[1]  "
2020-04-08,"
Maryland ",5529,"
","
124 ", ,"
5,117 ",921,21,"
38,462 ",6407,"
[1]  "
2020-04-08,"
Ohio ",5148,"
","
193 ", ,"
4,955 ",442,17,"
53,341 ",4582,"
[1]  "
2020-04-08,"
Tennessee ",4362,"
","
 79 ", ,"
3,656 ",656,12,"
56,618 ",8513,"
[1] [2] [3] [4]  "
2020-04-08,"
Virginia ",3645,"
","
75 ", ,"
3,568 ",433,9,"
30,645 ",3642,"
[1]  "
2020-04-08,"
North Carolina ",3562,"
","
63 ", ,"
3,413 ",351,6,"
42,987 ",4233,"
[1] [2]  "
2020-04-08,"
Missouri ",3431,"
","
85 ", ,"
3,277 ",563,14,"
38,282 ",6286,"
[1] [2] [3] [4] [5]  "
2020-04-08,"
Wisconsin ",2756,"
","
103 ", ,"
2,588 ",477,18,"
32,871 ",5689,"
[1] [2] [3] [4] [5]  "
2020-04-08,"
Arizona ",2726,"
","
80 ", ,"
2,626 ",392,12,"
34,564 ",4976,"
[1]  "
2020-04-08,"
South Carolina ",2552,"
","
63 ", ,"
2,489 ",515,13,"
24,634 ",4971,"
[1]  "
2020-04-08,"
Alabama ",2499,"
","
67 ", ,"
2,412 ",514,14,"
19,252 ",3958,"
[1]  "
2020-04-08,"
Nevada ",2318,"
","
71 ", ,"
2,211 ",793,24,"
22,865 ",7823,"
[1] [2]  "
2020-04-08,"
Mississippi ",2003,"
","
67 ", ,"
1,936 ",670,22,"
20,635 ",6904,"
[1]  "
2020-04-08,"
Utah ",1846,"
","
13 ", ,"
1,807 ",606,4,"
36,116 ",11859,"
[1]  "
2020-04-08,"
Oklahoma ",1524,"
","
79 ", ,"
923 ",389,20,"
13,345 ",3406,"
[1] [2]  "
2020-04-08,"
Rhode Island ",1450,"
","
35 ", ,"
1,405 ",1372,33,"
12,132 ",11482,"
[1] [2]  "
2020-04-08,"
District Of Columbia ",1440,"
","
27 ", ,"
1,052 ",2104,39,"
8,283 ",12101,"
[1]  "
2020-04-08,"
Kentucky ",1346,"
","
73 ", ,"
967 ",303,16,"
21,620 ",4869,"
[1] [2]  "
2020-04-08,"
Oregon ",1239,"
","
38 ", ,"
1,201 ",304,9,"
24,564 ",6018,"
[1] [2] [3]  "
2020-04-08,"
Idaho ",1232,"
","
18 ", ,"
1,214 ",730,11,"
12,531 ",7424,"
[1] [2] [3]  "
2020-04-08,"
Minnesota ",1154,"
","
39 ", ,"
483 ",209,7,"
30,753 ",5564,"
[1] [2] [3]  "
2020-04-08,"
Iowa ",1145,"
","
27 ", ,"
1,029 ",366,9,"
13,966 ",4458,"
[1] [2] [3] [4] [5] [6]  "
2020-04-08,"
Delaware ",1116,"
","
19 ", ,"
938 ",1175,20,"
9,439 ",9941,"
[1]  "
2020-04-08,"
Arkansas ",1077,"
","
18 ", ,"
822 ",360,6,"
14,909 ",4985,"
[1] [2]  "
2020-04-08,"
Kansas ",1046,"
","
38 ", ,"
1,008 ",360,13,"
10,183 ",3501,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-08,"
New Mexico ",865,"
","
16 ", ,"
678 ",413,8,"
23,807 ",11378,"
[1]  "
2020-04-08,"
New Hampshire ",788,"
","
18 ", ,"
543 ",586,13,"
9,551 ",7108,"
[1] [2] [3]  "
2020-04-08,"
Vermont ",605,"
","
23 ", ,"
582 ",968,37,"
7,749 ",12399,"
[1]  "
2020-04-08,"
Maine ",537,"
","
14 ", ,"
336 ",403,11,"
6,625 ",4971,"
[1] [2]  "
2020-04-08,"
Nebraska ",519,"
","
12 ", ,"
507  ",272,6,"
7,978 ",4188,"
[1] [2]  "
2020-04-08,"
West Virginia ",483,"
","
4 ", ,"
479 ",264,2,"
12,859 ",7030,"
[1]  "
2020-04-08,"
Hawaii ",435,"
","
5 ", ,"
317 ",306,4,"
15,751 ",11076,"
[1] [2]  "
2020-04-08,"
South Dakota ",393,"
","
6 ", ,"
241 ",455,7,"
6,748 ",7808,"
[1] [2]  "
2020-04-08,"
Montana ",332,"
","
6 ", ,"
191 ",319,6,"
7,398 ",7102,"
[1] [2] [3]  "
2020-04-08,"
North Dakota ",251,"
","
4 ", ,"
149 ",334,5,"
8,607 ",11442,"
[1]  "
2020-04-08,"
Wyoming ",230,"
","
", ,"
136 ",395,,"
4,064 ",6985,"
[1] [2]  "
