Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-05-03,USA Total,"1,160,838",+64,"67,448",+4,"919,665","3,507",204,"6,931,132","20,940", 
2020-05-03,"
New York ","319,213 ","
","
24,368 ", ,"
244,278 ","16,271","1,242","
959,017 ","48,883","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
2020-05-03,"
New Jersey ","123,717 ","
","
7,742 ", ,"
114,704 ","13,929",872,"
260,641 ","29,345","
[1] [2] [3]  "
2020-05-03,"
Massachusetts ","66,263 ","
","
 3,846 ", ,"
54,299 ","9,701",563,"
298,994 ","43,775","
[1] [2]  "
2020-05-03,"
Illinois ","58,505 ","
","
2,559 ", ,"
55,340 ","4,563",200,"
299,896 ","23,390","
[1] [2] [3] [4]  "
2020-05-03,"
California ","53,670 ","
+64 ","
2,192 ",+4 ,"
47,570 ","1,371",56,"
654,985 ","16,731","
[1] [2] [3] [4] [5]  "
2020-05-03,"
Pennsylvania ","50,915 ","
","
2,776 ", ,"
47,223 ","3,980",217,"
235,376 ","18,401","
[1]  "
2020-05-03,"
Michigan ","43,207 ","
","
4,020 ", ,"
23,528 ","4,339",404,"
207,184 ","20,807","
[1] [2] [3]  "
2020-05-03,"
Florida ","35,463 ","
","
1,364 ", ,"
33,413 ","1,722",66,"
417,762 ","20,282","
[1] [2]  "
2020-05-03,"
Texas ","31,142 ","
","
874 ", ,"
15,377 ","1,117",31,"
380,648 ","13,651","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-05-03,"
Connecticut ","29,287 ","
","
2,436 ", ,"
26,786 ","8,177",680,"
102,493 ","28,617","
[1] [2]  "
2020-05-03,"
Louisiana ","29,140 ","
","
1,993 ", ,"
9,844 ","6,248",427,"
172,858 ","37,065","
[1] [2]  "
2020-05-03,"
Georgia ","28,332 ","
","
1,174 ", ,"
27,127 ","2,751",114,"
174,800 ","16,975","
[1]  "
2020-05-03,"
Maryland ","24,473 ","
","
1,251 ", ,"
21,705 ","4,076",208,"
125,522 ","20,908","
[1]  "
2020-05-03,"
Ohio ","19,335 ","
","
1,021 ", ,"
17,866 ","1,661",88,"
145,021 ","12,457","
[1] [2] [3]  "
2020-05-03,"
Indiana ","19,295 ","
","
1,229 ", ,"
18,052 ","2,907",185,"
104,141 ","15,690","
[1] [2]  "
2020-05-03,"
Virginia ","17,731 ","
","
616 ", ,"
14,803 ","2,107",73,"
112,450 ","13,365","
[1] [2]  "
2020-05-03,"
Colorado ","16,225 ","
","
832 ", ,"
14,834 ","2,933",150,"
78,179 ","14,134","
[1]  "
2020-05-03,"
Washington ","15,512 ","
","
836 ", ,"
12,825 ","2,127",115,"
193,981 ","26,593","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-05-03,"
Tennessee ","12,661 ","
","
209 ", ,"
6,734 ","1,904",31,"
196,276 ","29,510","
[1] [2] [3]  "
2020-05-03,"
North Carolina ","11,579 ","
","
430 ", ,"
9,341 ","1,140",42,"
139,475 ","13,734","
[1] [2] [3] [4]  "
2020-05-03,"
Rhode Island ","9,289 ","
","
296 ", ,"
8,651 ","8,791",280,"
69,928 ","66,181","
[1]  "
2020-05-03,"
Iowa ","8,641 ","
","
175 ", ,"
5,310 ","2,759",56,"
49,727 ","15,875","
[1] [2]  "
2020-05-03,"
Arizona ","8,364 ","
","
348 ", ,"
7,946 ","1,204",50,"
77,997 ","11,228","
[1]  "
2020-05-03,"
Missouri ","8,328 ","
","
377 ", ,"
6,033 ","1,367",62,"
82,152  ","13,490","
[1] [2] [3] [4] [5] [6] [7]  "
2020-05-03,"
Wisconsin ","7,660 ","
","
334 ", ,"
4,116 ","1,326",58,"
83,230 ","14,404","
[1] [2] [3] [4] [5] [6]  "
2020-05-03,"
Alabama ","7,611 ","
","
289 ", ,"
7,302 ","1,565",59,"
96,860 ","19,911","
[1]  "
2020-05-03,"
Mississippi ","7,441 ","
","
291 ", ,"
3,737 ","2,490",97,"
74,475 ","24,918","
[1] [2]  "
2020-05-03,"
South Carolina  ","6,489 ","
","
267 ", ,"
1,341 ","1,309",54,"
61,616 ","12,433","
[1] [2]  "
2020-05-03,"
Minnesota ","6,228 ","
","
395 ", ,"
3,436 ","1,127",71,"
79,007 ","14,294","
[1] [2]  "
2020-05-03,"
Nebraska ","5,326 ","
","
76 ", ,"
5,228 ","2,796",40,"
31,332 ","16,449","
[1] [2]  "
2020-05-03,"
Nevada ","5,311 ","
","
257 ", ,"
2,149 ","1,817",88,"
54,918 ","18,789","
[1] [2]  "
2020-05-03,"
Delaware ","5,038 ","
","
168 ", ,"
3,324 ","5,306",177,"
23,112 ","24,341","
[1]  "
2020-05-03,"
Utah ","4,981 ","
","
49 ", ,"
2,747 ","1,636",16,"
117,804 ","38,683","
[1]  "
2020-05-03,"
Kentucky ","4,879 ","
","
248 ", ,"
3,509 ","1,099",56,"
57,648 ","12,983","
[1]  "
2020-05-03,"
District Of Columbia ","4,797 ","
","
240 ", ,"
3,891 ","7,008",351,"
22,004 ","32,146","
[1]  "
2020-05-03,"
Kansas ","4,634 ","
","
140 ", ,"
3,590 ","1,593",48,"
33,034 ","11,357","
[1] [2] [3] [4] [5] [6] [7]  "
2020-05-03,"
Oklahoma ","3,851 ","
","
238 ", ,"
1,212 ",983,61,"
63,552 ","16,220","
[1] [2]  "
2020-05-03,"
New Mexico ","3,732 ","
","
139 ", ,"
2,833 ","1,784",66,"
74,944 ","35,817","
[1] [2]  "
2020-05-03,"
Arkansas ","3,372 ","
","
72 ", ,"
1,313 ","1,128",24,"
51,582 ","17,248","
[1]  "
2020-05-03,"
Oregon ","2,635 ","
","
109 ", ,"
1,666 ",646,27,"
60,136 ","14,732","
[1] [2]  "
2020-05-03,"
South Dakota ","2,588 ","
","
21 ", ,"
808 ","2,994",24,"
18,091 ","20,932","
[1]  "
