Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-21,USA Total,819175,431,45343,25,690859,2475,137,4190002,12659, 
2020-04-21,"
New York ",256555,"
","
19,693 ", ,"
207,269 ",13077,1004,"
649,325 ",33098,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-21,"
New Jersey ",92387,"
","
4,753 ", ,"
86,363 ",10402,535,"
185,914 ",20932,"
[1] [2]  "
2020-04-21,"
Massachusetts  ",41199,"
","
1,961 ", ,"
31,120 ",6032,287,"
175,372 ",25676,"
[1] [2]  "
2020-04-21,"
California ",35802,"
+159 ","
1,322 ",24,"
31,143 ",915,34,"
300,100 ",7666,"
[1] [2] [3] [4]  "
2020-04-21,"
Pennsylvania ",35293,"
","
1,614 ", ,"
33,029 ",2759,126,"
166,851 ",13044,"
[1] [2] [3] [4] [5] [6]  "
2020-04-21,"
Illinois ",33059,"
","
1,468 ", ,"
30,985  ",2578,114,"
154,997 ",12089,"
[1] [2] [3] [4]  "
2020-04-21,"
Michigan ",32967,"
","
2,700 ", ,"
27,030 ",3311,271,"
121,298 ",12182,"
[1] [2] [3] [4]  "
2020-04-21,"
Florida ",27869,"
","
867 ", ,"
26,316 ",1353,42,"
284,206 ",13798,"
[1] [2]  "
2020-04-21,"
Louisiana ",24854,"
","
1,405 ", ,"
23,399 ",5329,301,"
141,835 ",30413,"
[1]  "
2020-04-21,"
Texas ",20596,"
","
528 ", ,"
15,262 ",739,19,"
205,399 ",7366,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-21,"
Connecticut ",20360,"
","
1,423 ", ,"
18,872 ",5685,397,"
64,192 ",17923,"
[1] [2]  "
2020-04-21,"
Georgia ",20166,"
","
818 ", ,"
19,317 ",1958,79,"
88,425 ",8587,"
[1] [2] [3]  "
2020-04-21,"
Maryland ",14193,"
","
652 ", ,"
12,611 ",2364,109,"
73,635 ",12265,"
[1]  "
2020-04-21,"
Ohio ",13725,"
","
557 ", ,"
13,048 ",1179,48,"
94,239 ",8095,"
[1] [2] [3]  "
2020-04-21,"
Washington ",12282,"
","
682 ", ,"
9,818 ",1684,93,"
145,031 ",19883,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
