Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-28,USA Total,1035765,,59266,,834261,3129,179,5919847,17885, 
2020-04-28,"
New York ",301450,"
","
23,144 ", ,"
231,343 ",15366,1180,"
844,994 ",43071,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
2020-04-28,"
New Jersey ",113856,"
","
6,442 ", ,"
106,143 ",12819,725,"
233,381 ",26276,"
[1] [2] [3]  "
2020-04-28,"
Massachusetts ",58302,"
","
3,153 ", ,"
47,031 ",8536,462,"
254,500 ",37261,"
[1] [2]  "
2020-04-28,"
Illinois ",48102,"
","
2,125 ", ,"
45,371 ",3752,166,"
242,189 ",18889,"
[1] [2] [3] [4]  "
2020-04-28,"
California ",46163,"
","
1,862 ", ,"
40,964 ",1179,48,"
553,409 ",14136,"
[1] [2] [3] [4]  "
2020-04-28,"
Pennsylvania ",45016,"
","
2,060 ", ,"
42,191 ",3519,161,"
209,088 ",16346,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-28,"
Michigan ",39262,"
","
3,567 ", ,"
27,353 ",3943,358,"
169,929 ",17065,"
[1] [2] [3]  "
2020-04-28,"
Florida ",32846,"
","
1,171 ", ,"
30,989 ",1595,57,"
368,651 ",17897,"
[1] [2]  "
2020-04-28,"
Louisiana ",27286,"
","
1,801 ", ,"
8,182 ",5851,386,"
151,108 ",32401,"
[1] [2]  "
2020-04-28,"
Connecticut ",26312,"
","
2,089 ", ,"
24,158 ",7347,583,"
92,745 ",25896,"
[1] [2]  "
2020-04-28,"
Texas ",26171,"
","
690 ", ,"
14,311 ",939,25,"
300,384 ",10772,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-28,"
Georgia ",24854,"
","
1,036 ", ,"
23,787 ",2414,101,"
140,223 ",13617,"
[1]  "
2020-04-28,"
Maryland ",20113,"
","
1,016 ", ,"
17,834 ",3350,169,"
107,785  ",17954,"
[1]  "
2020-04-28,"
Ohio ",16769,"
","
799 ", ,"
15,850 ",1440,69,"
122,706 ",10540,"
[1] [2] [3]  "
2020-04-28,"
Indiana ",16588,"
","
992 ", ,"
15,582 ",2499,149,"
87,181 ",13135,"
[1] [2]  "
2020-04-28,"
Virginia ",14339,"
","
492 ", ,"
12,032 ",1704,58,"
82,753 ",9835,"
[1] [2]  "
2020-04-28,"
Colorado ",14316,"
","
736 ", ,"
13,021 ",2588,133,"
67,094 ",12130,"
[1]  "
