Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-23,USA Total,886709,267,50243,7,750544,2679,152,4775625,14428, 
2020-04-23,"
New York ",268581,"
","
20,861 ", ,"
218,127 ",13690,1063,"
695,920 ",35473,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-23,"
New Jersey ",100025,"
","
5,428 ", ,"
93,326 ",11262,611,"
199,686 ",22482,"
[1] [2] [3]  "
2020-04-23,"
Massachusetts ",46023,"
","
2,360 ", ,"
35,545 ",6738,346,"
195,076 ",28561,"
[1] [2]  "
2020-04-23,"
California ",39555,"
+267 ","
1,530 ",7,"
34,688 ",1010,39,"
482,097 ",12314,"
[1] [2] [3] [4]  "
2020-04-23,"
Pennsylvania ",37053,"
","
1,685 ", ,"
34,718 ",2897,132,"
171,956 ",13443,"
[1] [2] [3] [4] [5] [6]  "
2020-04-23,"
Illinois ",36934,"
","
1,688 ", ,"
34,640 ",2881,132,"
173,316 ",13518,"
[1] [2] [3] [4]  "
2020-04-23,"
Michigan ",35291,"
","
2,977 ", ,"
29,042 ",3544,299,"
132,175 ",13274,"
[1] [2] [3]  "
2020-04-23,"
Florida ",29648,"
","
987 ", ,"
27,975 ",1439,48,"
303,050 ",14712,"
[1] [2]  "
2020-04-23,"
Louisiana ",25739,"
","
1,599 ", ,"
24,090 ",5519,343,"
141,858 ",30418,"
[1]  "
2020-04-23,"
Connecticut ",23100,"
","
1,639 ", ,"
21,396 ",6450,458,"
71,497 ",19963,"
[1] [2]  "
2020-04-23,"
Texas ",22393,"
","
576 ", ,"
17,011 ",803,21,"
225,078 ",8072,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-23,"
Georgia ",21883,"
","
881 ", ,"
20,971 ",2125,86,"
101,062 ",9814,"
[1] [2] [3]  "
2020-04-23,"
Maryland ",15737,"
","
748 ", ,"
13,949 ",2621,125,"
80,100 ",13342,"
[1]  "
2020-04-23,"
Ohio ",14694,"
","
656 ", ,"
13,918 ",1262,56,"
102,325 ",8789,"
[1] [2] [3]  "
2020-04-23,"
Indiana ",13039,"
","
706 ", ,"
12,319 ",1964,106,"
72,040 ",10854,"
[1] [2]  "
2020-04-23,"
Washington ",12753,"
","
711 ", ,"
10,260 ",1748,97,"
153,376 ",21027,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-23,"
Colorado ",11262,"
","
552 ", ,"
10,151 ",2036,100,"
52,324 ",9460,"
[1]  "
2020-04-23,"
Virginia ",10998,"
","
372 ", ,"
9,059 ",1307,44,"
64,518 ",7668,"
[1] [2]  "
2020-04-23,"
Tennessee ",8266,"
","
170 ", ,"
3,903 ",1243,26,"
123,100 ",18508,"
[1] [2] [3]  "
2020-04-23,"
North Carolina ",7854,"
","
281 ", ,"
6,690 ",773,28,"
96,185 ",9471,"
[1] [2] [3] [4]  "
2020-04-23,"
Missouri ",6384,"
","
243 ", ,"
5,594 ",1048,40,"
59,266 ",9732,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-23,"
Rhode Island ",6256,"
","
189 ", ,"
5,725 ",5921,179,"
44,419 ",42039,"
[1] [2] [3]  "
2020-04-23,"
Alabama ",5832,"
","
201 ", ,"
5,611 ",1199,41,"
52,641 ",10821,"
[1]  "
2020-04-23,"
Arizona ",5769,"
","
249 ", ,"
5,450 ",830,36,"
58,697 ",8450,"
[1]  "
2020-04-23,"
Mississippi ",5153,"
","
201 ", ,"
4,952 ",1724,67,"
55,389 ",18532,"
[1] [2]  "
2020-04-23,"
Wisconsin ",5052,"
","
257 ", ,"
4,601 ",874,44,"
56,508 ",9779,"
[1] [2] [3] [4] [5] [6]  "
2020-04-23,"
South Carolina ",4917,"
","
150 ", ,"
2,029 ",992,30,"
44,463 ",8972,"
[1] [2]  "
2020-04-23,"
Nevada ",4208,"
","
189 ", ,"
2,178 ",1440,65,"
42,709 ",14612,"
[1] [2]  "
2020-04-23,"
Iowa ",3924,"
","
96 ", ,"
2,336 ",1253,31,"
29,262 ",9341,"
[1] [2]  "
2020-04-23,"
Utah ",3612,"
","
35 ", ,"
2,689 ",1186,11,"
80,627 ",26475,"
[1]  "
2020-04-23,"
Kentucky ",3481,"
","
191 ", ,"
2,168 ",784,43,"
42,844 ",9649,"
[1]  "
2020-04-23,"
District Of Columbia ",3361,"
","
139 ", ,"
2,574 ",4910,203,"
15,930 ",23273,"
[1]  "
2020-04-23,"
Delaware ",3308,"
","
92 ", ,"
2,573 ",3484,97,"
16,912 ",17812,"
[1]  "
2020-04-23,"
Oklahoma ",3017,"
","
179 ", ,"
954 ",770,46,"
47,984 ",12247,"
[1] [2]  "
2020-04-23,"
Minnesota ",2942,"
","
200 ", ,"
1,206 ",532,36,"
51,548 ",9326,"
[1] [2]  "
2020-04-23,"
Arkansas ",2599,"
","
45 ", ,"
1,632 ",869,15,"
34,551 ",11553,"
[1]  "
2020-04-23,"
Kansas ",2482,"
","
112 ", ,"
 1,867 ",853,39,"
20,435 ",7025,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-23,"
New Mexico ",2379,"
","
78 ", ,"
1,728 ",1137,37,"
46,563 ",22253,"
[1] [2]  "
2020-04-23,"
Oregon  ",2127,"
","
83 ", ,"
2,044 ",521,20,"
43,976 ",10773,"
[1] [2]  "
2020-04-23,"
Nebraska ",2124,"
","
47 ", ,"
2,055 ",1115,25,"
18,701 ",9818,"
[1] [2]  "
2020-04-23,"
South Dakota ",1956,"
","
9 ", ,"
883 ",2263,10,"
14,065 ",16273,"
[1]  "
2020-04-23,"
Idaho ",1836,"
","
54 ", ,"
960 ",1088,32,"
19,091 ",11311,"
[1] [2]  "
2020-04-23,"
New Hampshire ",1670,"
","
51 ", ,"
1,069 ",1243,38,"
16,809 ",12510,"
[1]  "
