Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-16,USA Total,678144,574,34641,24,585659,2049,105,3411394,10306, 
2020-04-16,"
New York ",226198,"
","
16,106 ", ,"
186,205 ",11530,821,"
550,579 ",28064,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-16,"
New Jersey ",75317,"
","
3,518 ", ,"
70,528 ",8480,396,"
154,010 ",17340,"
[1] [2]  "
2020-04-16,"
Massachusetts  ",32181,"
","
1,245 ", ,"
22,818 ",4712,182,"
140,773 ",20610,"
[1] [2]  "
2020-04-16,"
Michigan ",29263,"
","
2,093 ", ,"
26,727 ",2939,210,"
97,093 ",9751,"
[1] [2] [3]  "
2020-04-16,"
California ",28090,"
+456 ","
973 ",22,"
25,767 ",718,25,"
227,600 ",5814,"
[1] [2] [3]  "
2020-04-16,"
Pennsylvania ",27735,"
","
837 ", ,"
26,248 ",2168,65,"
141,470 ",11060,"
[1] [2] [3] [4] [5] [6]  "
2020-04-16,"
Illinois ",25733,"
","
1,072 ", ,"
24,611 ",2007,84,"
122,589 ",9561,"
[1] [2] [3] [4]  "
2020-04-16,"
Florida ",23340,"
","
668 ", ,"
22,028 ",1133,32,"
225,736 ",10959,"
[1] [2]  "
2020-04-16,"
Louisiana ",22532,"
","
1,156 ", ,"
21,326 ",4831,248,"
126,586 ",27143,"
[1]  "
2020-04-16,"
Texas ",16638,"
","
404 ", ,"
12,557 ",597,14,"
158,547 ",5686,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-16,"
Georgia ",16368,"
","
617 ", ,"
15,720 ",1590,60,"
67,939 ",6598,"
[1] [2] [3]  "
2020-04-16,"
Connecticut ",15884,"
","
971 ", ,"
14,848 ",4435,271,"
53,122 ",14832,"
[1] [2]  "
2020-04-16,"
Washington ",11152,"
+118 ","
583 ",2,"
8,854 ",1529,80,"
128,900 ",17671,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-16,"
Maryland ",10784,"
","
392 ", ,"
9,656 ",1796,65,"
58,843 ",9802,"
[1]  "
2020-04-16,"
Indiana ",9542,"
","
477 ", ,"
9,051 ",1438,72,"
51,115 ",7701,"
[1] [2]  "
2020-04-16,"
Colorado ",8675,"
","
374 ", ,"
7,803 ",1568,68,"
 41,830 ",7563,"
[1]  "
