Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source,Projections
2020-05-17,USA Total,1507773,,90113,,1078428,4555,272,11949625,36101, , 
2020-05-16,"
New York ",358099,"
","
28,134 ", ,"
268,568 ",18408,1446,"
1,408,209 ",72388,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  ","
[projections]
"
2020-05-16,"
New Jersey ",146389,"
","
10,260 ", ,"
132,772 ",16481,1155,"
475,769 ",53564,"
[view by county] [1]  ","
[projections]
"
2020-05-16,"
Illinois ",92457,"
","
4,129 ", ,"
86,160 ",7296,326,"
561,649 ",44323,"
[1] [2] [3] [4]  ","
[projections]
"
2020-05-16,"
Massachusetts ",84933,"
","
5,705 ", ,"
51,416 ",12323,828,"
448,089 ",65011,"
[1] [2]  ","
[projections]
"
2020-05-16,"
California ",78685,"
","
3,208 ", ,"
62,426 ",1991,81,"
1,188,878 ",30089,"
[view by county] [1]  ","
[projections]
"
2020-05-16,"
Pennsylvania ",65307,"
","
4,489 ", ,"
54,269 ",5101,351,"
339,528 ",26522,"
[view by county] [1]  ","
[projections]
"
2020-05-16,"
Michigan ",50504,"
","
4,880 ", ,"
17,390 ",5057,489,"
411,506 ",41205,"
[1] [2] [3]  ","
[projections]
"
2020-05-16,"
Texas ",47672,"
","
1,340 ", ,"
19,462 ",1644,46,"
680,913 ",23483,"
[view by county] [1]  ","
[projections]
"
2020-05-16,"
Florida ",44811,"
","
1,965 ", ,"
35,208 ",2086,91,"
1,073,278 ",49972,"
[view by county] [1]  ","
[projections]
"
2020-05-16,"
Maryland ",37968,"
","
1,957 ", ,"
33,205 ",6280,324,"
190,175 ",31456,"
[1]  ","
[projections]
"
2020-05-16,"
Georgia ",37212,"
","
1,598 ", ,"
35,274 ",3505,151,"
321,069 ",30240,"
[1]  ","
[projections]
"
2020-05-16,"
Connecticut ",36703,"
","
3,339 ", ,"
27,100 ",10295,937,"
164,755 ",46211,"
[1]  ","
[projections]
"
2020-05-16,"
Louisiana ",34117,"
","
2,479 ", ,"
9,030 ",7339,533,"
259,829 ",55892,"
[view by county] [1]  ","
[projections]
"
2020-05-16,"
Virginia ",29683,"
","
1,002 ", ,"
25,003 ",3478,117,"
205,249 ",24046,"
[1] [2]  ","
[projections]
"
2020-05-16,"
Ohio ",27478,"
","
1,614 ", ,"
21,696 ",2351,138,"
254,914 ",21808,"
[view by county] [1] [2] [3]  ","
[projections]
"
2020-05-16,"
Indiana ",27280,"
","
1,741 ", ,"
23,670 ",4052,259,"
171,358 ",25453,"
[1] [2]  ","
[projections]
"
2020-05-16,"
Colorado ",21633,"
","
1,192 ", ,"
18,950 ",3757,207,"
123,422 ",21432,"
[1]  ","
[projections]
"
2020-05-16,"
Washington ",19211,"
","
1,015 ", ,"
13,426 ",2523,133,"
288,495 ",37886,"
[view by county] [1]  ","
[projections]
"
2020-05-16,"
North Carolina ",18130,"
","
676 ", ,"
8,339 ",1729,64,"
238,586 ",22748,"
[1] [2] [3] [4]  ","
[projections]
"
2020-05-16,"
Tennessee ",17288,"
","
295 ", ,"
7,464 ",2531,43,"
320,201 ",46887,"
[1] [2] [3]  ","
[projections]
"
2020-05-16,"
Minnesota ",14969,"
","
709 ", ,"
3,989 ",2654,126,"
143,281 ",25406,"
[1] [2]  ","
[projections]
"
2020-05-16,"
Iowa ",14328,"
","
346 ", ,"
7,055 ",4541,110,"
96,300 ",30522,"
[1] [2]  ","
[projections]
"
2020-05-16,"
Arizona ",13631,"
","
679 ", ,"
12,882 ",1873,93,"
194,504 ",26722,"
[1]  ","
[projections]
"
2020-05-16,"
Rhode Island ",12434,"
","
489 ", ,"
11,059 ",11737,462,"
108,480 ",102401,"
[1]  ","
[projections]
"
2020-05-16,"
Wisconsin ",12187,"
","
453 ", ,"
5,541 ",2093,78,"
146,393 ",25143,"
[1] [2] [3] [4] [5] [6]  ","
[projections]
"
2020-05-16,"
Alabama ",11674,"
","
485 ", ,"
11,169 ",2381,99,"
153,494 ",31305,"
[1]  ","
[projections]
"
2020-05-16,"
Mississippi ",11123,"
","
510 ", ,"
4,345 ",3737,171,"
108,476 ",36448,"
[1] [2]  ","
[projections]
"
2020-05-16,"
Missouri ",10832,"
","
596 ", ,"
7,429 ",1765,97,"
139,340 ",22703,"
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-16,"
Nebraska ",10220,"
","
123 ", ,"
10,075 ",5283,64,"
65,774 ",34002,"
[1] [2]  ","
[projections]
"
2020-05-16,"
South Carolina ",8661,"
","
380 ", ,"
2,238 ",1682,74,"
120,331 ",23371,"
[1] [2]  ","
[projections]
"
2020-05-16,"
Kansas ",7916,"
","
194 ", ,"
5,245 ",2717,67,"
61,592 ",21142,"
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-16,"
Kentucky ",7688,"
","
334 ", ,"
4,586 ",1721,75,"
129,405 ",28965,"
[1]  ","
[projections]
"
2020-05-16,"
Delaware ",7547,"
","
286 ", ,"
3,894 ",7750,294,"
39,758 ",40829,"
[1]  ","
[projections]
"
2020-05-16,"
Utah ",7068,"
","
78 ", ,"
3,272 ",2205,24,"
166,774 ",52020,"
[1]  ","
[projections]
"
2020-05-16,"
District Of Columbia ",7042,"
","
375 ", ,"
5,669 ",9978,531,"
35,532 ",50347,"
[1]  ","
[projections]
"
2020-05-16,"
Nevada ",6662,"
","
349 ", ,"
1,274 ",2163,113,"
87,454 ",28393,"
[1] [2]  ","
[projections]
"
2020-05-16,"
New Mexico ",5847,"
","
259 ", ,"
3,849 ",2788,124,"
128,574 ",61318,"
[1] [2]  ","
 [projections]
"
2020-05-16,"
Oklahoma ",5237,"
","
288 ", ,"
1,004 ",1323,73,"
123,399 ",31185,"
[1] [2]  ","
[projections]
"
2020-05-16,"
Arkansas ",4578,"
","
98 ", ,"
1,008 ",1517,32,"
83,232 ",27580,"
[1]  ","
[projections]
"
2020-05-16,"
South Dakota ",3959,"
","
44 ", ,"
1,242 ",4475,50,"
28,176 ",31850,"
[1]  ","
[projections]
"
2020-05-16,"
Oregon ",3612,"
","
137 ", ,"
2,069 ",856,32,"
92,121 ",21841,"
[1] [2]  ","
[projections]
"
2020-05-16,"
New Hampshire ",3556,"
","
171 ", ,"
2,127 ",2615,126,"
53,405 ",39277,"
[1]  ","
[projections]
"
2020-05-16,"
Idaho ",2419,"
","
73 ", ,"
967 ",1354,41,"
35,688 ",19970,"
[1] [2]  ","
[projections]
"
2020-05-16,"
North Dakota ",1848,"
","
42 ", ,"
695 ",2425,55,"
53,487 ",70187,"
[1]  ","
[projections]
"
2020-05-16,"
Maine ",1648,"
","
70 ", ,"
566 ",1226,52,"
33,035 ",24576,"
[1] [2]  ","
[projections]
"
2020-05-16,"
West Virginia ",1457,"
","
64 ", ,"
504 ",813,36,"
73,393 ",40953,"
[1]  ","
[projections]
"
2020-05-16,"
Vermont ",934,"
","
53 ", ,"
77 ",1497,85,"
23,205 ",37188,"
[1]  ","
 [projections]
"
2020-05-16,"
Wyoming ",741,"
","
7 ", ,"
236 ",1280,12,"
16,394 ",28326,"
[1] [2]  ","
[projections]
"
2020-05-16,"
Hawaii ",639,"
","
17 ", ,"
50 ",451,12,"
41,788 ",29514,"
[1] [2]  ","
[projections]
"
2020-05-16,"
Montana ",468,"
","
16 ", ,"
21 ",438,15,"
26,091 ",24412,"
[1] [2] [3]  ","
[projections]
"
