Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source,Projections
2020-05-16,"
Alaska ",392,"
","
10 ", ,"
39 ",536,14,"
33,281 ",45494,"
[1]  ","
[projections]
"
2020-05-16,"
Guam ",154,"
","
5 ", ,"
18 ",,,"
605
",,"
[1]  ","
"
2020-05-16,"
Northern Mariana Islands ",21,"
","
2 ", ,"
7 ",,,"
3,325
",,"
[1] [2]  ","
"
2020-05-16,"
Puerto Rico ",2589,"
","
122 ", ,"
1,721 ",764,36,"
13,022
",3845,"
[1] [2] [3]  ","
"
2020-05-16,"
United States Virgin Islands ",69,"
","
6 ", ,"
2 ",,,"
1,278
",,"
[1] [2]  ","
"
2020-05-16,"
Veteran Affairs ",11996,"
","
1,000 ", ,"
1,945 ",,,"
143,876
",,"
[1] [2]  ","
"
2020-05-16,"
US Military ",8374,"
","
27 ", ,"
4,397 ",,,"
",,"
[1] [2]  ","
"
2020-05-16,"
Navajo Nation ",3912,"
","
140 ", ,"
3,772 ",,,"
19,441
",,"
[1]  ","
"
2020-05-16,"
Federal Prisons ",3629,"
","
55 ", ,"
1,413 ",,,"
",,"
[1]  ","
"
2020-05-16,"
Grand Princess Ship ",103,"
","
3 ", ,"
100 ",,,"
",,"
[1]  ","
"
2020-05-16,"
Wuhan Repatriated ",3,"
","
", ,"
3 ",,,"
3
",,"
 ","
"
2020-05-16,"
Diamond Princess Ship ",46,"
","
", ,"
46 ",,,"
46
",,"
 ","
"
2020-05-16,Total:,1507773,,90113,,1078428,4555,272,11949625,36101, , 
