Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-18,USA Total,738913,121,39015,1,631613,2232,118,3722209,11245, 
2020-04-18,"
New York ",241041,"
","
17,671 ", ,"
199,483 ",12286,901,"
596,532 ",30407,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
2020-04-18,"
New Jersey ",81420,"
","
4,070 ", ,"
76,079 ",9167,458,"
164,278 ",18496,"
[1] [2]  "
2020-04-18,"
Massachusetts ",36372,"
","
1,560 ", ,"
26,694 ",5325,228,"
156,806 ",22958,"
[1] [2]  "
2020-04-18,"
Pennsylvania ",31731,"
","
1,102 ", ,"
29,979 ",2481,86,"
153,965 ",12037,"
[1] [2] [3] [4] [5] [6]  "
2020-04-18,"
California ",30801,"
+83 ","
1,148 ",1,"
28,303 ",787,29,"
246,400 ",6294,"
[1] [2] [3]  "
2020-04-18,"
Michigan ",30791,"
","
2,308 ", ,"
 25,246 ",3092,232,"
102,366 ",10280,"
[1] [2] [3]  "
2020-04-18,"
Illinois ",29160,"
","
1,259 ", ,"
27,851 ",2274,98,"
137,404 ",10717,"
[1] [2] [3] [4]  "
2020-04-18,"
Florida ",25492,"
","
748 ", ,"
24,058 ",1238,36,"
253,183 ",12292,"
[1] [2]  "
2020-04-18,"
Louisiana ",23580,"
","
1,267 ", ,"
22,263 ",5056,272,"
137,999 ",29591,"
[1]  "
2020-04-18,"
Texas ",18679,"
","
469 ", ,"
13,404 ",670,17,"
176,239 ",6320,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-18,"
Georgia ",17841,"
","
677 ", ,"
17,133 ",1733,66,"
74,208 ",7206,"
[1] [2] [3]  "
2020-04-18,"
Connecticut ",17550,"
","
1,086 ", ,"
16,399 ",4900,303,"
58,213 ",16254,"
[1] [2]  "
2020-04-18,"
Maryland ",12308,"
","
463 ", ,"
11,074 ",2050,77,"
65,370 ",10889,"
[1]  "
2020-04-18,"
Washington ",11802,"
","
624 ", ,"
9,463 ",1618,86,"
135,706 ",18604,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-18,"
Indiana ",10641,"
","
545 ", ,"
10,082 ",1603,82,"
56,873 ",8569,"
[1] [2]  "
2020-04-18,"
Ohio ",10222,"
","
451 ", ,"
9,651 ",878,39,"
83,131 ",7141,"
[1] [2] [3]  "
2020-04-18,"
Colorado ",9433,"
","
411 ", ,"
8,524 ",1705,74,"
44,606 ",8065,"
[1]  "
2020-04-18,"
Virginia ",8053,"
","
258 ", ,"
6,685 ",957,31,"
51,931 ",6172,"
[1] [2]  "
2020-04-18,"
Tennessee ",6762,"
","
145 ", ,"
3,383 ",1017,22,"
90,586 ",13620,"
[1] [2] [3]  "
2020-04-18,"
North Carolina ",6366,"
","
185 ", ,"
5,298 ",627,18,"
76,211 ",7504,"
[1] [2] [3]  "
2020-04-18,"
Missouri ",5517,"
","
184 ", ,"
5,149 ",906,30,"
53,525 ",8789,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-18,"
Alabama ",4723,"
","
147 ", ,"
4,556 ",971,30,"
42,538 ",8744,"
[1]  "
2020-04-18,"
Arizona ",4719,"
","
177 ", ,"
4,472 ",679,25,"
51,045 ",7348,"
[1]  "
2020-04-18,"
Rhode Island ",4491,"
","
137 ", ,"
4,344 ",4250,130,"
32,826 ",31067,"
[1] [2] [3]  "
2020-04-18,"
South Carolina ",4246,"
","
119 ", ,"
1,389 ",857,24,"
38,833 ",7836,"
[1] [2]  "
2020-04-18,"
Wisconsin ",4199,"
","
211 ", ,"
3,901 ",727,37,"
48,161 ",8335,"
[1] [2] [3] [4] [5] [6]  "
2020-04-18,"
Mississippi ",3974,"
","
152 ", ,"
3,822 ",1330,51,"
38,765 ",12970,"
[1] [2]  "
2020-04-18,"
Nevada ",3626,"
","
151 ", ,"
2,306 ",1241,52,"
35,955 ",12301,"
[1] [2]  "
2020-04-18,"
Utah ",2931,"
","
 25 ", ,"
2,463 ",962,8,"
59,944 ",19684,"
[1]  "
2020-04-18,"
Kentucky ",2707,"
","
144 ", ,"
2,257 ",610,32,"
32,225 ",7258,"
[1]  "
2020-04-18,"
District Of Columbia ",2666,"
","
91 ", ,"
1,967 ",3895,133,"
13,268 ",19384,"
[1]  "
2020-04-18,"
Oklahoma ",2570,"
","
139 ", ,"
897 ",656,35,"
35,536 ",9070,"
[1] [2]  "
2020-04-18,"
Delaware ",2538,"
","
67  ", ,"
2,005 ",2673,71,"
14,794 ",15581,"
[1]  "
2020-04-18,"
Iowa ",2513,"
","
74 ", ,"
1,432 ",802,24,"
22,947 ",7325,"
[1]  "
2020-04-18,"
Minnesota ",2213,"
","
121 ", ,"
974 ",400,22,"
44,368 ",8027,"
[1] [2]  "
