Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-12,USA Total,560433,133,22115,10,505684,1693,67,2833112,8559, 
2020-04-12,"
New York ",189415,"
","
9,385 ", ,"
162,941 ",9655,478,"
461,601 ",23529,"
[1] [2] [3] [4] [5] [6]  "
2020-04-12,"
New Jersey ",61850,"
","
2,350 ", ,"
58,818 ",6964,265,"
126,735 ",14269,"
[1] [2]  "
2020-04-12,"
Massachusetts ",25475,"
","
756 ", ,"
23,990 ",3730,111,"
116,730 ",17090,"
[1] [2]  "
2020-04-12,"
Michigan  ",24638,"
","
1,487 ", ,"
22,708 ",2474,149,"
76,014 ",7634,"
[1] [2] [3]  "
2020-04-12,"
California ",23287,"
+110 ","
681 ",7,"
21,666 ",595,17,"
203,400 ",5196,"
[1] [2] [3]  "
2020-04-12,"
Pennsylvania ",22920,"
","
561 ", ,"
21,709 ",1792,44,"
124,890 ",9764,"
[1] [2] [3] [4]  "
2020-04-12,"
Illinois ",20852,"
","
720 ", ,"
20,082 ",1626,56,"
100,735 ",7857,"
[1] [2] [3] [4]  "
2020-04-12,"
Louisiana ",20595,"
","
840 ", ,"
19,705 ",4416,180,"
104,045 ",22310,"
[1]  "
2020-04-12,"
Florida ",19895,"
","
461 ", ,"
19,254 ",966,22,"
185,520 ",9007,"
[1] [2]  "
2020-04-12,"
Texas ",13640,"
","
278 ", ,"
11,348 ",489,10,"
124,553 ",4467,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-12,"
Georgia ",12550,"
","
442 ", ,"
12,077 ",1219,43,"
54,453 ",5288,"
[1] [2] [3]  "
2020-04-12,"
Connecticut ",12035,"
","
554 ", ,"
11,431 ",3360,155,"
41,220 ",11509,"
[1] [2]  "
2020-04-12,"
Washington ",10530,"
","
508 ",3,"
8,697 ",1444,70,"
92,999 ",12749,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-12,"
Maryland  ",8225,"
","
235 ", ,"
7,534 ",1370,39,"
47,238 ",7868,"
[1]  "
2020-04-12,"
Indiana ",7928,"
","
343 ", ,"
7,571 ",1194,52,"
42,489 ",6401,"
[1] [2]  "
2020-04-12,"
Colorado  ",7303,"
","
290 ", ,"
6,973 ",1320,52,"
37,153 ",6717,"
[1]  "
2020-04-12,"
Ohio ",6604,"
","
253 ", ,"
6,351 ",567,22,"
63,243 ",5432,"
[1]  "
2020-04-12,"
Tennessee ",5308,"
","
101 ", ,"
3,703 ",798,15,"
70,747 ",10637,"
[1] [2] [3]  "
2020-04-12,"
Virginia ",5274,"
","
141 ", ,"
5,131 ",627,17,"
39,985 ",4752,"
[1]  "
2020-04-12,"
 North Carolina ",4582,"
","
90 ", ,"
4,406 ",451,9,"
62,139 ",6119,"
[1] [2] [3]  "
2020-04-12,"
Missouri ",4160,"
","
116 ", ,"
3,860 ",683,19,"
45,064 ",7400,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-12,"
Alabama ",3583,"
","
93 ", ,"
3,470 ",737,19,"
20,605 ",4236,"
[1]  "
2020-04-12,"
Arizona ",3539,"
","
115 ", ,"
3,384 ",509,17,"
42,109 ",6062,"
[1]  "
2020-04-12,"
Wisconsin ",3341,"
","
144 ", ,"
3,132 ",578,25,"
39,257 ",6794,"
[1] [2] [3] [4] [5] [6]  "
2020-04-12,"
South Carolina ",3319,"
","
82  ", ,"
3,237 ",670,17,"
31,426 ",6341,"
[1] [2]  "
2020-04-12,"
Nevada ",2836,"
","
112 ", ,"
2,474 ",970,38,"
29,579 ",10120,"
[1] [2]  "
2020-04-12,"
Mississippi ",2781,"
","
96 ", ,"
2,685 ",930,32,"
21,101 ",7060,"
[1]  "
2020-04-12,"
Rhode Island ",2665,"
","
63 ", ,"
2,592 ",2522,60,"
20,350 ",19260,"
[1] [2]  "
2020-04-12,"
Utah ",2303,"
","
18 ", ,"
2,259 ",756,6,"
44,234 ",14525,"
[1]  "
2020-04-12,"
Oklahoma ",1970,"
","
96 ", ,"
1,352 ",503,25,"
22,511 ",5745,"
[1] [2]  "
2020-04-12,"
Kentucky ",1963,"
","
 97 ", ,"
1,560 ",442,22,"
25,866 ",5825,"
[1]  "
2020-04-12,"
District Of Columbia ",1875,"
","
50 ", ,"
1,332 ",2739,73,"
10,640 ",15544,"
[1]  "
2020-04-12,"
Delaware ",1625,"
","
35 ", ,"
1,377 ",1711,37,"
11,820 ",12449,"
[1]  "
2020-04-12,"
Minnesota ",1621,"
","
70 ", ,"
709 ",293,13,"
37,421 ",6770,"
[1] [2]  "
2020-04-12,"
Iowa ",1587,"
","
41 ", ,"
872 ",507,13,"
17,592 ",5616,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-12,"
Oregon ",1527,"
","
52 ", ,"
1,475 ",374,13,"
29,758 ",7290,"
[1] [2]  "
2020-04-12,"
Idaho ",1426,"
","
27 ", ,"
1,399 ",845,16,"
14,881 ",8817,"
[1] [2] [3]  "
2020-04-12,"
Kansas ",1337,"
","
56 ", ,"
1,153 ",460,19,"
13,253 ",4556,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-12,"
Arkansas ",1280,"
","
27 ", ,"
886 ",428,9,"
19,722 ",6595,"
[1] [2]  "
2020-04-12,"
New Mexico ",1245,"
","
26  ", ,"
1,048 ",595,12,"
30,515 ",14583,"
[1]  "
2020-04-12,"
New Hampshire ",985,"
","
23 ", ,"
726 ",733,17,"
10,925 ",8131,"
[1]  "
2020-04-12,"
Nebraska ",814,"
+23 ","
17 ", ,"
797 ",427,9,"
10,991 ",5770,"
[1] [2]  "
2020-04-12,"
South Dakota ",730,"
","
6 ", ,"
528 ",845,7,"
8,553 ",9896,"
[1] [2]  "
2020-04-12,"
Vermont ",727,"
","
27 ", ,"
700 ",1163,43,"
9,841 ",15746,"
[1]  "
2020-04-12,"
Maine ",633,"
","
19 ", ,"
348 ",475,14,"
12,168 ",9130,"
[1] [2]  "
2020-04-12,"
West Virginia ",611,"
","
8 ", ,"
520 ",334,4,"
16,257 ",8888,"
[1]  "
2020-04-12,"
Hawaii ",499,"
","
9 ", ,"
180 ",351,6,"
18,827 ",13240,"
[1] [2]  "
2020-04-12,"
Montana ",387,"
","
6 ", ,"
212 ",371,6,"
8,913 ",8556,"
[1] [2] [3]  "
2020-04-12,"
North Dakota ",308,"
","
8 ", ,"
179 ",409,11,"
10,350 ",13760,"
[1]  "
2020-04-12,"
Alaska ",272,"
","
8 ", ,"
198 ",368,11,"
8,038 ",10884,"
[1]  "
2020-04-12,"
Wyoming ",270,"
","
", ,"
133 ",464,,"
5,614 ",9649,"
[1] [2]  "
2020-04-12,"
Guam ",133,"
","
5 ", ,"
70 ",,,"
605
",,"
[1]  "
2020-04-12,"
Northern Mariana Islands ",11,"
","
2 ", ,"
9 ",,,"
45
",,"
[1]  "
2020-04-12,"
Puerto Rico ",897,"
","
44 ", ,"
849 ",265,13,"
7,973
",2354,"
[1] [2] [3]  "
2020-04-12,"
United States Virgin Islands ",51,"
","
1 ", ,"
7 ",,,"
370
 ",,"
[1]  "
2020-04-12,"
US Military ",3366,"
","
13 ", ,"
3,054 ",,,"
",,"
[1]  "
2020-04-12,"
Navajo Nation ",698,"
","
24 ", ,"
674 ",,,"
",,"
[1]  "
2020-04-12,"
Grand Princess Ship ",103,"
","
3 ", ,"
100 ",,,"
",,"
[1]  "
2020-04-12,"
Wuhan Repatriated ",3,"
","
", ,"
3 ",,,"
 3
",,"
"
2020-04-12,"
Diamond Princess Ship ",46,"
","
", ,"
46 ",,,"
46
",,"
"
2020-04-12,Total:,560433,133,22115,10,505684,1693,67,2833112,8559, 
