Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-19,USA Total,765069,433,40587,12,653286,2311,123,3861596,11666, 
2020-04-19,"
New York ",247215,"
","
18,298 ", ,"
205,030 ",12601,933,"
617,555 ",31478,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-19,"
New Jersey ",85301,"
","
4,202 ", ,"
79,828 ",9604,473,"
172,543 ",19426,"
[1] [2]  "
2020-04-19,"
Massachusetts  ",38077,"
","
1,706 ", ,"
28,253 ",5575,250,"
162,241 ",23754,"
[1] [2]  "
2020-04-19,"
Pennsylvania ",32734,"
","
1,237 ", ,"
30,847 ",2559,97,"
158,854 ",12419,"
[1] [2] [3] [4] [5] [6]  "
2020-04-19,"
California ",31527,"
+97 ","
1,177 ",2,"
29,000 ",805,30,"
246,400 ",6294,"
[1] [2] [3]  "
2020-04-19,"
Michigan ",31424,"
","
2,391 ", ,"
25,796 ",3156,240,"
113,800 ",11429,"
[1] [2] [3]  "
2020-04-19,"
Illinois ",30357,"
","
1,290 ", ,"
28,461 ",2368,101,"
143,318 ",11178,"
[1] [2] [3] [4]  "
2020-04-19,"
Florida ",26314,"
","
774 ", ,"
24,854 ",1277,38,"
262,495 ",12744,"
[1] [2]  "
2020-04-19,"
Louisiana ",23928,"
","
1,296 ", ,"
22,582 ",5131,278,"
141,504 ",30342,"
[1]  "
2020-04-19,"
Texas ",19317,"
","
499 ", ,"
14,012 ",693,18,"
182,710 ",6552,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-19,"
Georgia ",18489,"
+332 ","
689 ",8,"
17,769 ",1795,67,"
79,933 ",7762,"
[1] [2] [3]  "
2020-04-19,"
Connecticut ",17962,"
","
1,127 ", ,"
16,770 ",5015,315,"
59,759 ",16685,"
[1] [2]  "
2020-04-19,"
Maryland ",12830,"
","
486 ", ,"
11,430 ",2137,81,"
67,891 ",11309,"
[1]  "
