Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-13,USA Total,587155,214,23644,4,526563,1774,71,2943955,8894, 
2020-04-13,"
New York ",195655,"
","
10,056 ", ,"
168,510 ",9973,513,"
478,357 ",24383,"
[1] [2] [3] [4] [5] [6]  "
2020-04-13,"
New Jersey ",64584,"
","
2,443 ", ,"
60,870 ",7271,275,"
131,219 ",14774,"
[1] [2]  "
2020-04-13,"
Massachusetts ",26867,"
","
844 ", ,"
25,294 ",3934,124,"
122,049 ",17869,"
[1] [2]  "
2020-04-13,"
Michigan ",25635,"
","
1,602 ", ,"
23,590 ",2574,161,"
76,014 ",7634,"
[1] [2] [3]  "
2020-04-13,"
California ",24353,"
+214 ","
731 ",4,"
22,682 ",622,19,"
203,400 ",5196,"
[1] [2] [3]  "
2020-04-13,"
Pennsylvania ",24292,"
","
590 ", ,"
23,052 ",1899,46,"
129,792 ",10147,"
[1] [2] [3] [4]  "
2020-04-13,"
Illinois ",22025,"
","
794 ", ,"
21,181 ",1718,62,"
105,768 ",8249,"
[1] [2] [3] [4]  "
2020-04-13,"
Florida ",21019,"
","
499 ", ,"
19,895 ",1020,24,"
197,996 ",9612,"
[1] [2]  "
2020-04-13,"
Louisiana ",21016,"
","
884 ", ,"
20,082 ",4506,190,"
108,091 ",23178,"
[1]  "
2020-04-13,"
Texas ",14277,"
","
295 ", ,"
11,968 ",512,11,"
133,226 ",4778,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-13,"
Georgia ",13621,"
","
480 ", ,"
13,110 ",1323,47,"
57,038 ",5539,"
[1] [2] [3]  "
2020-04-13,"
Connecticut ",13381,"
","
602 ", ,"
12,729 ",3736,168,"
44,309 ",12372,"
[1] [2]  "
2020-04-13,"
Washington ",10703,"
","
523 ", ,"
8,855 ",1467,72,"
92,999 ",12749,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-13,"
Maryland ",8936,"
","
262 ", ,"
8,071 ",1488,44,"
51,751 ",8620,"
[1]  "
2020-04-13,"
Indiana ",8236,"
","
350 ", ,"
7,872 ",1241,53,"
44,539 ",6710,"
[1] [2]  "
2020-04-13,"
Colorado ",7684,"
","
304 ", ,"
7,340 ",1389,55,"
37,153 ",6717,"
[1] [2]  "
2020-04-13,"
Ohio ",6975,"
","
274 ", ,"
6,581 ",599,24,"
63,243 ",5432,"
[1]  "
2020-04-13,"
Virginia ",5747,"
","
149 ", ,"
5,131 ",683,18,"
41,401 ",4921,"
[1] [2]  "
2020-04-13,"
Tennessee ",5610,"
","
109 ", ,"
3,830 ",843,16,"
76,195 ",11456,"
[1] [2] [3]  "
2020-04-13,"
North Carolina ",4884,"
","
107 ", ,"
4,691 ",481,11,"
63,388 ",6242,"
[1] [2] [3]  "
2020-04-13,"
Missouri ",4510,"
","
122 ", ,"
4,204 ",741,20,"
45,064 ",7400,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-13,"
Alabama ",3803,"
","
103 ", ,"
3,680 ",782,21,"
29,140 ",5990,"
[1]  "
2020-04-13,"
Arizona ",3702,"
","
122 ", ,"
3,540 ",533,18,"
42,109 ",6062,"
[1]  "
2020-04-13,"
South Carolina ",3439,"
","
87 ", ,"
3,352 ",694,18,"
31,426 ",6341,"
[1] [2]  "
2020-04-13,"
Wisconsin ",3428,"
","
154 ", ,"
3,209 ",593,27,"
40,197 ",6956,"
[1] [2] [3] [4] [5] [6]  "
2020-04-13,"
Rhode Island ",2976,"
","
73 ", ,"
2,893 ",2817,69,"
20,350 ",19260,"
[1] [2] [3]  "
2020-04-13,"
Nevada ",2971,"
","
120 ", ,"
1,682 ",1016,41,"
30,628 ",10479,"
[1] [2]  "
2020-04-13,"
Mississippi ",2942,"
","
98 ", ,"
2,844 ",984,33,"
21,101 ",7060,"
[1]  "
2020-04-13,"
Utah ",2363,"
","
18 ", ,"
2,127 ",776,6,"
45,787 ",15035,"
[1]  "
2020-04-13,"
Oklahoma ",2069,"
","
99 ", ,"
910 ",528,25,"
28,225 ",7204,"
[1] [2]  "
2020-04-13,"
Kentucky ",2048,"
","
104 ", ,"
1,638 ",461,23,"
26,683 ",6009,"
[1]  "
2020-04-13,"
District Of Columbia ",1955,"
","
52 ", ,"
1,396 ",2856,76,"
10,934 ",15974,"
[1]  "
2020-04-13,"
Delaware ",1761,"
","
41 ", ,"
1,443 ",1855,43,"
12,304 ",12958,"
[1]  "
2020-04-13,"
Iowa ",1710,"
","
43 ", ,"
926 ",546,14,"
17,592 ",5616,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-13,"
Minnesota ",1650,"
","
70 ", ,"
738 ",299,13,"
38,427 ",6952,"
[1] [2]  "
2020-04-13,"
Oregon ",1584,"
","
53 ", ,"
1,531 ",388,13,"
31,121 ",7624,"
[1] [2]  "
2020-04-13,"
Arkansas ",1475,"
","
30 ", ,"
1,018 ",493,10,"
21,014 ",7027,"
[1]  "
2020-04-13,"
Idaho ",1453,"
","
33 ", ,"
1,396 ",861,20,"
14,881 ",8817,"
[1] [2] [3]  "
2020-04-13,"
Kansas ",1376,"
","
62 ", ,"
1,186 ",473,21,"
13,864 ",4766,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-13,"
New Mexico ",1345,"
","
31 ", ,"
1,019 ",643,15,"
31,970 ",15279,"
[1]  "
2020-04-13,"
New Hampshire ",1020,"
","
23 ", ,"
748 ",759,17,"
11,610 ",8641,"
[1]  "
2020-04-13,"
Nebraska ",871,"
","
18 ", ,"
831 ",457,9,"
11,384 ",5977,"
[1] [2]  "
2020-04-13,"
South Dakota ",868,"
","
6 ", ,"
655 ",1004,7,"
9,002 ",10415,"
[1] [2]  "
2020-04-13,"
Vermont ",748,"
","
28 ", ,"
720 ",1197,45,"
10,365 ",16585,"
[1]  "
2020-04-13,"
Maine ",698,"
","
19 ", ,"
406 ",524,14,"
12,168 ",9130,"
[1] [2]  "
2020-04-13,"
West Virginia ",633,"
","
9 ", ,"
539 ",346,5,"
16,748 ",9157,"
[1]  "
2020-04-13,"
Hawaii ",504,"
","
9 ", ,"
180 ",354,6,"
18,827 ",13240,"
[1] [2]  "
2020-04-13,"
Montana ",394,"
","
7 ", ,"
216 ",378,7,"
9,098 ",8734,"
[1] [2] [3]  "
2020-04-13,"
North Dakota ",331,"
","
8 ", ,"
196 ",440,11,"
10,781 ",14333,"
[1]  "
2020-04-13,"
Alaska ",277,"
","
8 ", ,"
184 ",375,11,"
8,038 ",10884,"
[1]  "
2020-04-13,"
Wyoming ",275,"
","
1 ", ,"
134 ",473,2,"
5,963 ",10249,"
[1] [2]  "
2020-04-13,"
Guam ",133,"
","
5 ", ,"
70 ",,,"
605
",,"
[1]  "
2020-04-13,"
Northern Mariana Islands ",11,"
","
2 ", ,"
 9 ",,,"
45
",,"
[1]  "
2020-04-13,"
Puerto Rico ",903,"
","
45 ", ,"
854 ",267,13,"
8,157
",2408,"
[1] [2] [3]  "
2020-04-13,"
United States Virgin Islands ",51,"
","
1 ", ,"
7 ",,,"
370
",,"
[1]  "
2020-04-13,"
US Military ",4528,"
","
15 ", ,"
3,925 ",,,"
",,"
[1]  "
2020-04-13,"
Navajo Nation ",698,"
","
24 ", ,"
674 ",,,"
",,"
[1]  "
2020-04-13,"
Grand Princess Ship ",103,"
","
3 ", ,"
100 ",,,"
",,"
[1]  "
2020-04-13,"
Wuhan Repatriated ",3,"
","
", ,"
3 ",,,"
3
",,"
"
2020-04-13,"
Diamond Princess Ship ",46,"
","
", ,"
46 ",,,"
46
",,"
"
2020-04-13,Total:,587155,214,23644,4,526563,1774,71,2943955,8894, 
