Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-17,USA Total,710021,286,37158,4,612353,2145,112,3574984,10800, 
2020-04-17,"
New York ",233951,"
","
17,131 ", ,"
192,933 ",11925,873,"
573,223 ",29219,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-17,"
New Jersey ",78467,"
","
3,840 ", ,"
73,356 ",8835,432,"
159,389 ",17945,"
[1] [2]  "
2020-04-17,"
Massachusetts  ",34402,"
","
1,404 ", ,"
24,880 ",5037,206,"
148,744 ",21777,"
[1] [2]  "
2020-04-17,"
Michigan ",30023,"
","
2,227 ", ,"
27,353 ",3015,224,"
102,366 ",10280,"
[1] [2] [3]  "
2020-04-17,"
Pennsylvania ",29921,"
","
957 ", ,"
28,314 ",2339,75,"
147,373 ",11521,"
[1] [2] [3] [4] [5] [6]  "
2020-04-17,"
California ",29175,"
","
1,041 ", ,"
26,784 ",745,27,"
246,400 ",6294,"
[1] [2] [3]  "
2020-04-17,"
Illinois ",27575,"
","
1,134 ", ,"
26,391 ",2151,88,"
130,163 ",10152,"
[1] [2] [3] [4]  "
2020-04-17,"
Florida ",24753,"
","
726  ", ,"
23,341 ",1202,35,"
241,913 ",11744,"
[1] [2]  "
2020-04-17,"
Louisiana ",23118,"
","
1,213 ", ,"
21,855 ",4957,260,"
131,987 ",28301,"
[1]  "
2020-04-17,"
Texas ",17760,"
","
 439 ", ,"
13,131 ",637,16,"
169,536 ",6080,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-17,"
Georgia ",17432,"
","
668 ", ,"
16,733 ",1693,65,"
 71,693 ",6962,"
[1] [2] [3]  "
2020-04-17,"
Connecticut ",16809,"
","
1,036 ", ,"
15,708 ",4693,289,"
55,462 ",15486,"
[1] [2]  "
2020-04-17,"
Maryland ",11572,"
","
425 ", ,"
10,411 ",1928,71,"
62,009 ",10329,"
[1]  "
2020-04-17,"
Washington ",11445,"
+286 ","
603 ",4,"
9,127 ",1569,83,"
131,627 ",18045,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-17,"
Indiana ",10154,"
","
519 ", ,"
9,621 ",1530,78,"
54,785 ",8254,"
[1] [2]  "
2020-04-17,"
Ohio ",9107,"
","
418 ", ,"
8,569 ",782,36,"
77,677  ",6672,"
[1] [2] [3]  "
2020-04-17,"
Colorado ",9047,"
","
391 ", ,"
8,158 ",1636,71,"
41,830 ",7563,"
[1]  "
2020-04-17,"
Virginia ",7491,"
","
231 ", ,"
6,150 ",890,27,"
48,997 ",5823,"
[1] [2]  "
2020-04-17,"
Tennessee ",6589,"
","
142 ", ,"
3,430 ",991,21,"
87,273 ",13122,"
[1] [2] [3]  "
2020-04-17,"
North Carolina ",6031,"
","
172 ", ,"
4,976 ",594,17,"
72,981 ",7186,"
[1] [2] [3]  "
2020-04-17,"
Missouri ",5283,"
","
182 ", ,"
4,917 ",867,30,"
51,545 ",8464,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-17,"
Alabama ",4572,"
","
151 ", ,"
4,401 ",940,31,"
37,848 ",7780,"
[1]  "
2020-04-17,"
Arizona ",4507,"
","
169 ", ,"
4,268 ",649,24,"
49,230 ",7087,"
[1]  "
2020-04-17,"
Rhode Island ",4177,"
","
118 ", ,"
4,049 ",3953,112,"
30,761 ",29113,"
[1] [2] [3]  "
2020-04-17,"
South Carolina ",4086,"
","
116 ", ,"
3,970 ",824,23,"
36,284 ",7321,"
[1] [2]  "
2020-04-17,"
Wisconsin ",4045,"
","
205 ", ,"
3,753 ",700,35,"
46,410 ",8032,"
[1] [2] [3] [4] [5] [6]  "
2020-04-17,"
Mississippi ",3793,"
","
140 ", ,"
 3,653 ",1269,47,"
37,733 ",12625,"
[1] [2]  "
2020-04-17,"
Nevada ",3524,"
","
142 ", ,"
2,213 ",1206,49,"
35,955 ",12301,"
[1] [2]  "
2020-04-17,"
Utah ",2805,"
","
23 ", ,"
2,564 ",921,8,"
55,771 ",18313,"
[1]  "
2020-04-17,"
Kentucky ",2522,"
","
137 ", ,"
2,079 ",568,31,"
30,596 ",6891,"
[1]  "
2020-04-17,"
District Of Columbia ",2476,"
","
86 ", ,"
1,817 ",3617,126,"
12,643 ",18470,"
[1]  "
2020-04-17,"
Oklahoma ",2465,"
","
136 ", ,"
1,174 ",629,35,"
30,795 ",7860,"
[1] [2]  "
2020-04-17,"
Iowa ",2332,"
","
64 ", ,"
1,261 ",744,20,"
21,792 ",6957,"
[1]  "
2020-04-17,"
Delaware ",2323,"
","
61 ", ,"
1,839 ",2447,64,"
14,017 ",14763,"
[1]  "
2020-04-17,"
Minnesota ",2071,"
","
111 ", ,"
894 ",375,20,"
43,053 ",7789,"
[1] [2]  "
2020-04-17,"
Oregon ",1785,"
","
70 ", ,"
1,715 ",437,17,"
36,321 ",8898,"
[1] [2]  "
2020-04-17,"
New Mexico ",1711,"
","
51 ", ,"
1,365 ",818,24,"
35,613 ",17020,"
[1] [2]  "
2020-04-17,"
Kansas ",1705,"
","
84 ", ,"
1,381 ",586,29,"
16,901 ",5810,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-17,"
Arkansas ",1700,"
","
37 ", ,"
1,070 ",568,12,"
23,494 ",7856,"
[1]  "
2020-04-17,"
Idaho ",1655,"
","
43 ", ,"
1,159 ",981,25,"
16,183 ",9588,"
[1] [2]  "
2020-04-17,"
South Dakota ",1411,"
","
7 ", ,"
947 ",1633,8,"
11,062 ",12799,"
[1]  "
2020-04-17,"
New Hampshire ",1287,"
","
37 ", ,"
782 ",958,28,"
12,852 ",9565,"
[1]  "
2020-04-17,"
Nebraska ",1138,"
","
24 ", ,"
1,092 ",597,13,"
13,753 ",7220,"
[1] [2]  "
2020-04-17,"
Maine ",827,"
","
29 ", ,"
446 ",620,22,"
14,872 ",11158,"
[1] [2]  "
2020-04-17,"
Vermont ",779,"
","
35 ", ,"
744 ",1246,56,"
12,116 ",19386,"
[1]  "
2020-04-17,"
West Virginia ",775,"
","
16 ", ,"
612 ",424,9,"
19,088 ",10436,"
[1]  "
2020-04-17,"
 Hawaii ",553,"
","
9 ", ,"
154 ",389,6,"
21,985 ",15460,"
[1] [2]  "
2020-04-17,"
North Dakota ",439,"
","
9 ", ,"
258 ",584,12,"
12,342 ",16408,"
[1]  "
2020-04-17,"
Montana ",422,"
","
8 ", ,"
181 ",405,8,"
10,244 ",9834,"
[1] [2] [3]  "
2020-04-17,"
Wyoming ",412,"
","
2 ", ,"
204 ",708,3,"
7,280 ",12512,"
[1] [2]  "
2020-04-17,"
Alaska ",309,"
","
9 ", ,"
172 ",418,12,"
9,450 ",12796,"
[1]  "
2020-04-17,"
Guam ",135,"
","
5 ", ,"
57 ",,,"
605
",,"
[1]  "
