Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-05-06,USA Total,"1,238,040",+407,"72,284",+13,"965,087","3,740",218,"7,727,938","23,347", 
2020-05-06,"
New York ","330,139 ","
","
25,204 ", ,"
251,204 ","16,828","1,285","
1,028,899 ","52,445","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
2020-05-06,"
New Jersey ","131,705 ","
","
8,292 ", ,"
122,142 ","14,829",934,"
286,207 ","32,224","
[view by county] [1]  "
2020-05-06,"
Massachusetts ","70,271 ","
","
4,212 ", ,"
57,941 ","10,288",617,"
333,349 ","48,805","
[1] [2]  "
2020-05-06,"
Illinois ","65,962 ","
","
2,838 ", ,"
62,479 ","5,145",221,"
346,286 ","27,008","
[1] [2] [3] [4]  "
2020-05-06,"
California ","58,724  ","
+99 ","
2,379 ",+3 ,"
48,235 ","1,500",61,"
782,208 ","19,980","
[view by county] [1]  "
2020-05-06,"
Pennsylvania ","53,907 ","
","
3,196 ", ,"
49,728 ","4,214",250,"
250,882 ","19,614","
[view by county] [1]  "
2020-05-06,"
Michigan ","44,397 ","
","
4,179 ", ,"
24,559 ","4,459",420,"
229,183 ","23,016","
[1] [2] [3]  "
2020-05-06,"
Florida ","37,439 ","
","
1,471 ", ,"
35,282 ","1,818",71,"
467,553 ","22,699","
[view by county] [1]  "
2020-05-06,"
Texas ","34,238 ","
","
960 ", ,"
16,613 ","1,228",34,"
441,297 ","15,825","
[view by county]  "
2020-05-06,"
Connecticut ","30,621 ","
","
2,633 ", ,"
27,923 ","8,550",735,"
108,643 ","30,334","
[1] [2]  "
2020-05-06,"
Georgia ","30,032 ","
+140 ","
1,295 ", ,"
28,397 ","2,916",126,"
200,814 ","19,501","
[1]  "
2020-05-06,"
Louisiana ","29,996 ","
","
2,115 ", ,"
7,565 ","6,432",454,"
188,231 ","40,362","
[view by county] [1]  "
2020-05-06,"
Maryland ","27,117 ","
","
1,390 ", ,"
24,210 ","4,517",232,"
140,103 ","23,337","
[1]  "
2020-05-06,"
Indiana ","21,033 ","
","
1,326 ", ,"
19,693 ","3,169",200,"
115,834 ","17,452","
[1] [2]  "
2020-05-06,"
Ohio ","20,971 ","
","
1,136 ", ,"
19,387 ","1,801",98,"
160,735 ","13,807","
[view by county] [1] [2] [3]  "
