date,case_us,tweet_us,sentiment_us,case_AL,case_AK,case_AZ,case_AR,case_CA,case_CO,case_CT,case_DE,case_DC,case_FL,case_GA,case_HI,case_ID,case_IL,case_IN,case_IA,case_KS,case_KY,case_LA,case_ME,case_MD,case_MA,case_MI,case_MN,case_MS,case_MO,case_MT,case_NE,case_NV,case_NH,case_NJ,case_NM,case_NY,case_NC,case_ND,case_OH,case_OK,case_OR,case_PA,case_RI,case_SC,case_SD,case_TN,case_TX,case_UT,case_VT,case_VA,case_WA,case_WV,case_WI,case_WY,tweet_AL,tweet_AK,tweet_AZ,tweet_AR,tweet_CA,tweet_CO,tweet_CT,tweet_DE,tweet_DC,tweet_FL,tweet_GA,tweet_HI,tweet_ID,tweet_IL,tweet_IN,tweet_IA,tweet_KS,tweet_KY,tweet_LA,tweet_ME,tweet_MD,tweet_MA,tweet_MI,tweet_MN,tweet_MS,tweet_MO,tweet_MT,tweet_NE,tweet_NV,tweet_NH,tweet_NJ,tweet_NM,tweet_NY,tweet_NC,tweet_ND,tweet_OH,tweet_OK,tweet_OR,tweet_PA,tweet_RI,tweet_SC,tweet_SD,tweet_TN,tweet_TX,tweet_UT,tweet_VT,tweet_VA,tweet_WA,tweet_WV,tweet_WI,tweet_WY,sentiment_AL,sentiment_AK,sentiment_AZ,sentiment_AR,sentiment_CA,sentiment_CO,sentiment_CT,sentiment_DE,sentiment_DC,sentiment_FL,sentiment_GA,sentiment_HI,sentiment_ID,sentiment_IL,sentiment_IN,sentiment_IA,sentiment_KS,sentiment_KY,sentiment_LA,sentiment_ME,sentiment_MD,sentiment_MA,sentiment_MI,sentiment_MN,sentiment_MS,sentiment_MO,sentiment_MT,sentiment_NE,sentiment_NV,sentiment_NH,sentiment_NJ,sentiment_NM,sentiment_NY,sentiment_NC,sentiment_ND,sentiment_OH,sentiment_OK,sentiment_OR,sentiment_PA,sentiment_RI,sentiment_SC,sentiment_SD,sentiment_TN,sentiment_TX,sentiment_UT,sentiment_VT,sentiment_VA,sentiment_WA,sentiment_WV,sentiment_WI,sentiment_WY
2/08/20,11,1891410,-0.10277300171938103,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10572,7435,48754,11111,320772,32311,17377,4409,5164,141051,57931,10659,8535,60888,23496,8280,10527,16926,20267,9158,34467,48448,42225,26959,8655,23707,6126,8535,24713,5355,40425,9335,140862,44369,1724,52148,15445,28830,58854,3991,18124,3650,30867,200903,10689,3473,42983,101257,6302,19728,2638,0.2680722891566265,0.2579908675799087,0.28252938792055127,0.29836512261580383,0.27466784207543604,0.29554390563564875,0.2648456057007126,0.2017167381974249,0.33884297520661155,0.2763654669015857,0.2683137029589199,0.30851063829787234,0.25681818181818183,0.2655063291139241,0.2870065789473684,0.26854219948849106,0.23922413793103448,0.2640086206896552,0.26981300089047194,0.2898550724637681,0.2947821409359871,0.3065462753950339,0.2835820895522388,0.31932773109243695,0.28,0.2765793528505393,0.3236842105263158,0.3535031847133758,0.2952308856926571,0.23770491803278687,0.28945074106364427,0.29713114754098363,0.26364557695091934,0.21674565560821485,0.20930232558139536,0.29373065015479877,0.2807731434384537,0.30152949745083757,0.2774886141834743,0.27218934911242604,0.267005076142132,0.27402135231316727,0.30984274898078046,0.2702955958769912,0.29750778816199375,0.2980769230769231,0.2579473206176203,0.2737430167597765,0.2962962962962963,0.30264550264550266,0.2932692307692308
2/09/20,11,2029934,-0.13560105108140103,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11584,8261,52312,12025,341656,34797,18477,4695,5456,152727,62255,11535,9325,64912,25308,8984,11283,18364,21615,9756,36397,51616,45553,28873,9373,25535,6778,9157,26445,5811,43515,9959,150556,48287,1866,55822,16811,31100,63040,4315,19608,4020,33551,216715,11527,3789,46121,107477,6796,21318,2876,0.2845849802371542,0.2929782082324455,0.2996065205171445,0.2888402625820569,0.279927217008236,0.28881737731295254,0.29454545454545455,0.26573426573426573,0.2808219178082192,0.2726961288112367,0.27705827937095284,0.2146118721461187,0.2708860759493671,0.2678926441351889,0.2913907284768212,0.3465909090909091,0.291005291005291,0.25869262865090403,0.2774480712166172,0.3076923076923077,0.28808290155440414,0.2765151515151515,0.28725961538461536,0.2988505747126437,0.31197771587743733,0.2833698030634573,0.3374233128834356,0.2604501607717042,0.26674364896073904,0.2412280701754386,0.2517799352750809,0.2916666666666667,0.2580977924489375,0.28483920367534454,0.2676056338028169,0.27871529667936856,0.2957540263543192,0.31013215859030835,0.2804586717630196,0.2716049382716049,0.27897574123989216,0.3027027027027027,0.2809239940387481,0.2663799645838604,0.32935560859188545,0.3291139240506329,0.30911408540471635,0.3077170418006431,0.29554655870445345,0.3018867924528302,0.3445378151260504
2/10/20,11,2205620,-0.17530138997985045,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12738,8991,56920,13093,367932,38207,20043,5107,5910,166991,67469,12573,10087,70294,27564,9796,12225,20058,23129,10676,39295,55866,49931,31379,10167,28201,7672,9843,28527,6341,47177,10881,162720,53189,2016,60524,18535,34196,69072,4719,21456,4436,36691,235193,12717,4309,49935,116877,7374,23454,3124,0.2876949740034662,0.336986301369863,0.2799479166666667,0.26591760299625467,0.26335819759476325,0.2744868035190616,0.2720306513409962,0.27184466019417475,0.27312775330396477,0.2581323611890073,0.2761795166858458,0.22928709055876687,0.27034120734908135,0.26272761055369753,0.25975177304964536,0.2832512315270936,0.23354564755838642,0.25737898465171194,0.2575957727873184,0.24565217391304348,0.2732919254658385,0.2691764705882353,0.25765189584285064,0.31843575418994413,0.28967254408060455,0.2753188297074269,0.28859060402684567,0.2594752186588921,0.2737752161383285,0.2981132075471698,0.2528672856362643,0.28199566160520606,0.2653732324893127,0.2533659730722154,0.25333333333333335,0.26584432156529136,0.27842227378190254,0.24741602067183463,0.268236074270557,0.25742574257425743,0.24783549783549783,0.25961538461538464,0.28152866242038216,0.2671284771079121,0.27058823529411763,0.2923076923076923,0.2627163083377032,0.2927659574468085,0.22837370242214533,0.27902621722846443,0.16129032258064516
2/11/20,12,2372125,-0.2811627278460106,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13875,9788,61196,14157,393452,41428,21549,5475,6330,179630,72486,13396,10932,75150,29749,10640,13198,21722,24905,11586,42102,59852,53928,34052,10846,30634,8480,10606,30441,6911,50496,11797,174241,57430,2169,65317,20224,37347,74612,5141,23175,4954,39677,252004,13882,4693,54190,125530,7956,25407,3387,0.17502198768689534,0.24090338770388958,0.22614593077642656,0.212406015037594,0.24122257053291535,0.2173238124805961,0.22841965471447542,0.18478260869565216,0.3119047619047619,0.21307065432391803,0.2525413593781144,0.20899149453219928,0.20591715976331362,0.2298187808896211,0.21052631578947367,0.21208530805687204,0.24357656731757452,0.23137019230769232,0.21565315315315314,0.22087912087912087,0.2522265764161026,0.25514300050175615,0.23092319239429573,0.27908716797605687,0.21944035346097202,0.22482531853678586,0.23143564356435645,0.22804718217562253,0.25444096133751304,0.23508771929824562,0.23681831877071408,0.22379912663755458,0.24676677371755923,0.22589012025465693,0.2875816993464052,0.20237846860004172,0.21788040260509178,0.2100920342748334,0.22870036101083033,0.23459715639810427,0.19720767888307156,0.3185328185328185,0.22438044206296048,0.22592350246862172,0.25407725321888414,0.2604166666666667,0.23407755581668624,0.27215994452790937,0.23367697594501718,0.24270353302611367,0.28517110266159695
2/12/20,12,2528807,-0.16609438225194983,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14845,10460,64824,15133,416898,44490,22981,5855,6708,192156,78266,14136,11676,79474,31537,11282,14058,23278,26647,12398,44872,63658,57468,36480,11588,32942,9094,11334,32393,7349,53814,12535,185759,61214,2305,69283,21774,40065,79768,5505,24711,5264,42651,269190,14826,5057,57704,134018,8440,27017,3627,0.2845360824742268,0.30952380952380953,0.28996692392502754,0.2930327868852459,0.2789388381813529,0.28543435662965383,0.29329608938547486,0.29473684210526313,0.2962962962962963,0.27399010059077117,0.2955017301038062,0.31891891891891894,0.3010752688172043,0.28307123034227566,0.26733780760626397,0.308411214953271,0.29534883720930233,0.30719794344473006,0.27784156142365096,0.27832512315270935,0.2642599277978339,0.2974251182343668,0.27288135593220336,0.33607907742998355,0.25336927223719674,0.29116117850953205,0.2931596091205212,0.3241758241758242,0.2930327868852459,0.3424657534246575,0.28028933092224234,0.2953929539295393,0.2715749262024657,0.27431289640591966,0.38235294117647056,0.27332324760463944,0.28516129032258064,0.29286239882266374,0.28665632273079905,0.26373626373626374,0.2682291666666667,0.3161290322580645,0.2871553463349025,0.2770860002327476,0.3220338983050847,0.33516483516483514,0.305065452475811,0.3051366635249764,0.3305785123966942,0.2894409937888199,0.31666666666666665
2/13/20,13,2661753,-0.1408767469498894,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15650,10974,67841,15948,436101,46950,24187,6216,7026,203082,82766,14749,12310,83320,33228,11896,14757,24641,27862,12999,46994,66906,60448,38826,12192,34829,9640,11965,34067,7706,56589,13091,195356,64518,2443,73062,23030,42097,84202,5741,26090,5685,45206,284828,15690,5384,60928,140684,8861,28384,3808,0.28074534161490683,0.311284046692607,0.2668213457076566,0.2773006134969325,0.27438421080039577,0.31382113821138213,0.2802653399668325,0.29916897506925205,0.31446540880503143,0.2624931356397584,0.2762222222222222,0.26753670473083196,0.24290220820189273,0.2714508580343214,0.2613837965700769,0.30456026058631924,0.3090128755364807,0.2663242846661775,0.24691358024691357,0.24459234608985025,0.2606032045240339,0.3023399014778325,0.27416107382550337,0.37809036658141515,0.24834437086092714,0.2861685214626391,0.2783882783882784,0.312202852614897,0.24253285543608125,0.3025210084033613,0.2518918918918919,0.2805755395683453,0.28248410961758885,0.2772397094430993,0.30434782608695654,0.2863191320455147,0.2730891719745223,0.2888779527559055,0.28349120433017594,0.3093220338983051,0.2697606961566352,0.23990498812351543,0.2806262230919765,0.2515027497122394,0.2800925925925926,0.2966360856269113,0.27233250620347393,0.29777977797779775,0.30403800475059384,0.2867593269934162,0.23756906077348067
2/14/20,13,2754229,-0.08819585622215492,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16138,11310,69783,16569,451359,48721,25059,6447,7289,210092,85649,15434,12843,85972,34274,12295,15288,25335,28745,13445,48801,69396,62422,40038,12550,35904,10090,12427,35140,8023,58382,13531,202073,66467,2510,75563,23679,43759,87245,5907,26913,5775,46922,294967,16459,5667,63034,146126,9175,29260,3977,0.29098360655737704,0.28273809523809523,0.2981462409886715,0.2962962962962963,0.2835889369511076,0.3060417843026539,0.27522935779816515,0.35064935064935066,0.24334600760456274,0.26276747503566333,0.2608394033992369,0.3635036496350365,0.3339587242026266,0.29034690799396684,0.2695984703632887,0.2631578947368421,0.2711864406779661,0.27089337175792505,0.2944507361268403,0.25112107623318386,0.2650802434975097,0.3028112449799197,0.2669706180344478,0.31353135313531355,0.27932960893854747,0.30697674418604654,0.3511111111111111,0.3463203463203463,0.2786579683131407,0.30914826498422715,0.30953708867819296,0.3068181818181818,0.27929135030519575,0.2642380708055413,0.23880597014925373,0.2818872451019592,0.27426810477657937,0.29843561973525873,0.28393033190930006,0.2710843373493976,0.3037667071688943,0.3888888888888889,0.30652680652680653,0.33888943682808953,0.3381014304291287,0.30742049469964666,0.2839506172839506,0.312752664461595,0.29936305732484075,0.273972602739726,0.3254437869822485
2/15/20,13,2877523,-0.08916897821467384,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16888,11882,72693,17441,471219,51163,26247,6731,7615,219788,89413,16480,13421,89376,35666,12819,16006,26429,29967,14115,50695,72588,64946,41862,13034,37542,10618,13031,36694,8377,60992,14117,211337,69495,2586,78899,24751,45935,91383,6109,28037,6147,48922,307591,17241,6121,65834,153114,9551,30450,4165,0.3253333333333333,0.2937062937062937,0.3230240549828179,0.3073394495412844,0.299496475327291,0.30548730548730546,0.32154882154882153,0.23943661971830985,0.3128834355828221,0.3025990099009901,0.31296493092454836,0.32887189292543023,0.28027681660899656,0.29553466509988247,0.2959770114942529,0.35877862595419846,0.2924791086350975,0.3180987202925046,0.3011456628477905,0.2835820895522388,0.307286166842661,0.31140350877192985,0.31061806656101426,0.3048245614035088,0.33884297520661155,0.2954822954822955,0.3409090909090909,0.31788079470198677,0.3127413127413127,0.2994350282485876,0.3095785440613027,0.29692832764505117,0.2916666666666667,0.30713342140026423,0.18421052631578946,0.3117505995203837,0.31343283582089554,0.25643382352941174,0.3141614306428226,0.2376237623762376,0.33274021352313166,0.25268817204301075,0.312,0.3445817490494297,0.3171355498721228,0.24669603524229075,0.31785714285714284,0.32198053806525473,0.24468085106382978,0.3025210084033613,0.2978723404255319
2/16/20,13,2973001,-0.07027796979408868,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17477,12272,75006,18168,485902,52842,27168,6999,7828,227758,92419,17120,13928,92133,36760,13254,16510,27389,30970,14546,52665,74831,67289,43198,13535,38807,11018,13375,37884,8665,63044,14672,218360,72311,2666,81351,25494,47601,94550,6280,29040,6372,50665,317218,17935,6429,67835,157891,9788,31429,4354,0.27504244482173174,0.2641025641025641,0.3203631647211414,0.3108665749656121,0.31165293196213306,0.3269803454437165,0.30944625407166126,0.29850746268656714,0.29107981220657275,0.30489335006273527,0.29607451763140386,0.2640625,0.3155818540433925,0.3133841131664853,0.3007312614259598,0.3425287356321839,0.32936507936507936,0.32916666666666666,0.30608175473579263,0.28074245939675174,0.2954314720812183,0.3227819884083816,0.3371745625266752,0.3031437125748503,0.3153692614770459,0.3612648221343874,0.3275,0.25290697674418605,0.3126050420168067,0.3333333333333333,0.2753411306042885,0.2954954954954955,0.31539228250035595,0.30433238636363635,0.425,0.3172920065252855,0.2934051144010767,0.32593037214885956,0.3056520366277234,0.38011695906432746,0.3220338983050847,0.29777777777777775,0.32415375788869766,0.31764828087670094,0.26945244956772335,0.33766233766233766,0.30334832583708143,0.3271927988277161,0.31223628691983124,0.3411644535240041,0.31746031746031744
2/17/20,13,3141665,-0.11751173931603659,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18529,13072,78750,19382,511782,56228,28816,7425,8320,241448,97945,18012,14674,97155,38852,14014,17504,29035,32620,15380,55321,78727,71011,45456,14217,41181,11786,14339,40320,9211,66456,15508,231278,76183,2796,85777,26896,50815,99712,6592,30636,6746,53523,335752,19065,6891,71725,166597,10336,33345,4524,0.27566539923954375,0.3,0.3295940170940171,0.29654036243822074,0.29760432766615147,0.3118724158298878,0.3143203883495146,0.3051643192488263,0.24796747967479674,0.2867786705624543,0.28085414404632647,0.27802690582959644,0.32171581769436997,0.3022700119474313,0.31644359464627153,0.32894736842105265,0.34808853118712274,0.2891859052247874,0.2775757575757576,0.2709832134292566,0.29066265060240964,0.29774127310061604,0.3111230521225148,0.3091231178033658,0.2991202346041056,0.2914911541701769,0.3229166666666667,0.2987551867219917,0.2594417077175698,0.28205128205128205,0.2901524032825322,0.3133971291866029,0.276203746710017,0.28667355371900827,0.3230769230769231,0.3032083145051966,0.275320970042796,0.30180460485376476,0.3029833397907788,0.2564102564102564,0.3182957393483709,0.2887700534759358,0.298110566829951,0.29912593072191646,0.30265486725663715,0.33766233766233766,0.2915167095115681,0.3112795773030094,0.3102189781021898,0.267223382045929,0.2
2/18/20,13,3239993,-0.21133349605402324,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19126,13485,81434,19970,528014,58085,29712,7666,8579,249237,101342,18657,15140,100145,40051,14458,18028,29899,33666,15763,56820,81106,73119,46677,14662,42422,12171,14763,41629,9521,68607,15936,238473,78342,2890,88227,27591,52508,102717,6762,31653,6894,55301,346378,19708,7179,74003,171865,10711,34263,4638,0.2529313232830821,0.27602905569007263,0.25149031296572283,0.2108843537414966,0.25634549038935434,0.2924071082390953,0.28125,0.2697095435684647,0.25868725868725867,0.24701502118372062,0.2672946717692081,0.2310077519379845,0.30686695278969955,0.26354515050167227,0.24437030859049208,0.29954954954954954,0.29770992366412213,0.30092592592592593,0.2323135755258126,0.2689295039164491,0.26417611741160774,0.2740647330811265,0.24905123339658444,0.27436527436527436,0.2606741573033708,0.2594681708299758,0.23896103896103896,0.24764150943396226,0.2857142857142857,0.22580645161290322,0.2389586238958624,0.2733644859813084,0.2785267546907575,0.25984251968503935,0.2872340425531915,0.24857142857142858,0.23884892086330936,0.2805670407560543,0.2585690515806988,0.2529411764705882,0.24287118977384464,0.2702702702702703,0.2508436445444319,0.2370600414078675,0.3328149300155521,0.2916666666666667,0.24187884108867427,0.2963173880030372,0.256,0.2973856209150327,0.21929824561403508
2/19/20,13,3391041,-0.19101212859488376,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20106,14095,84942,20952,550670,60735,31100,7972,9025,261537,106514,19357,15756,104389,41891,15202,18960,31235,35264,16531,59400,84678,76423,48495,15326,44554,12707,15519,43569,9987,71875,16640,249815,82174,3026,92185,28843,54960,107581,7026,33259,7308,58077,363582,20718,7625,77771,179787,11227,35843,4828,0.23265306122448978,0.26557377049180325,0.2554161915621437,0.23625254582484725,0.2807203389830508,0.29283018867924526,0.28674351585014407,0.2679738562091503,0.242152466367713,0.24227642276422764,0.2637277648878577,0.25142857142857145,0.2532467532467532,0.2540056550424128,0.266304347826087,0.30913978494623656,0.2875536480686695,0.2694610778443114,0.2590738423028786,0.21875,0.27674418604651163,0.303471444568869,0.26815980629539954,0.2607260726072607,0.25301204819277107,0.27861163227016883,0.2537313432835821,0.35714285714285715,0.2443298969072165,0.2317596566523605,0.25152998776009794,0.26136363636363635,0.26432727913948156,0.2567849686847599,0.3382352941176471,0.27943405760485096,0.23003194888178913,0.27569331158238175,0.25945723684210525,0.2727272727272727,0.2727272727272727,0.2608695652173913,0.25288184438040345,0.25029063008602653,0.27524752475247527,0.24663677130044842,0.267515923566879,0.309265337036102,0.2596899224806202,0.2670886075949367,0.24210526315789474
2/20/20,13,3504450,-0.06600005290585403,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20734,14605,87626,21566,567223,62810,32160,8225,9358,270355,110207,20088,16292,107801,43237,15672,19640,32320,36230,17091,61307,87421,78828,50377,15850,46153,13109,16119,45155,10321,74122,17193,258261,84750,3141,95064,29711,56846,111176,7298,34329,7672,60148,375449,21563,8034,80853,187530,11496,36949,4985,0.3359872611464968,0.2803921568627451,0.3360655737704918,0.33876221498371334,0.3100948468555549,0.34409638554216865,0.32452830188679244,0.39920948616600793,0.3003003003003003,0.32365615785892493,0.3189818575683726,0.2982216142270862,0.36380597014925375,0.2913247362250879,0.3291233283803863,0.32127659574468087,0.34705882352941175,0.31797235023041476,0.32091097308488614,0.25892857142857145,0.3188253801782905,0.35107546481954066,0.3234927234927235,0.33421891604675874,0.34541984732824427,0.3689806128830519,0.3208955223880597,0.3283333333333333,0.30453972257250944,0.3383233532934132,0.3404539385847797,0.2423146473779385,0.32630831162680557,0.3307453416149068,0.2956521739130435,0.31642931573463007,0.36059907834101385,0.34676564156945916,0.325452016689847,0.33088235294117646,0.35233644859813085,0.2774725274725275,0.3418638338966683,0.3209741299401702,0.3301775147928994,0.26894865525672373,0.30434782608695654,0.3434069482112876,0.3643122676579926,0.3471971066907776,0.24203821656050956
2/21/20,15,3658804,-0.17452090648768415,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21570,15229,91360,22462,590863,65992,33590,8579,9894,281807,115519,20874,16932,112539,45127,16500,20602,33670,37666,17957,63947,91197,82652,52757,16380,48237,13759,17009,46981,10777,76932,18031,269539,88320,3269,99172,30873,59782,116324,7648,35827,8200,62764,391035,22537,8616,84807,196870,12008,38667,5155,0.25598086124401914,0.3173076923076923,0.24049276914836637,0.2611607142857143,0.2505922165820643,0.26587052168447517,0.23776223776223776,0.2711864406779661,0.19402985074626866,0.23768774013272792,0.2398343373493976,0.22137404580152673,0.284375,0.2389193752638244,0.2518518518518518,0.2536231884057971,0.22245322245322247,0.2814814814814815,0.233983286908078,0.22632794457274827,0.23939393939393938,0.2478813559322034,0.2384937238493724,0.27563025210084036,0.2679245283018868,0.27543186180422263,0.20923076923076922,0.3235955056179775,0.25301204819277107,0.23684210526315788,0.2405693950177936,0.20047732696897375,0.24649760595850329,0.2627450980392157,0.3125,0.2575462512171373,0.24612736660929432,0.24114441416893734,0.2474747474747475,0.2742857142857143,0.2590120160213618,0.23484848484848486,0.26146788990825687,0.2653663544206339,0.26078028747433263,0.3024054982817869,0.2473444613050076,0.2773019271948608,0.21875,0.26542491268917345,0.2
2/22/20,15,3727729,-0.15587957925281104,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22096,15546,93165,22852,602152,67322,34305,8718,10071,287248,117762,21304,17263,114549,45912,16805,21031,34398,38269,18362,64927,92745,84305,53738,16736,49318,14057,17281,47872,10939,78285,18413,274245,89959,3340,100951,31511,61077,118586,7791,36506,8373,63985,397672,23003,8902,86588,200654,12194,39420,5226,0.3403041825095057,0.305993690851735,0.26869806094182824,0.24871794871794872,0.27008592435113826,0.28421052631578947,0.26853146853146853,0.23741007194244604,0.3333333333333333,0.2595111192795442,0.2741863575568435,0.30465116279069765,0.2537764350453172,0.25771144278606967,0.2484076433121019,0.26885245901639343,0.2773892773892774,0.2802197802197802,0.3101160862354892,0.21975308641975308,0.27653061224489794,0.27583979328165376,0.2770719903206292,0.2670744138634047,0.32303370786516855,0.2793709528214616,0.23154362416107382,0.34191176470588236,0.3108866442199775,0.3148148148148148,0.29194382852919437,0.24083769633507854,0.24713132171695706,0.3075045759609518,0.2112676056338028,0.3012928611579539,0.2884012539184953,0.3467181467181467,0.27320954907161804,0.27972027972027974,0.2916053019145803,0.2023121387283237,0.3063063063063063,0.28491788458640954,0.27253218884120173,0.3146853146853147,0.27400336889387983,0.2832980972515856,0.3172043010752688,0.2775564409030544,0.2676056338028169
2/24/20,15,3851639,-0.15517714470179972,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23038,16084,96413,23490,621560,70018,35445,9070,10405,297156,121816,21928,17861,118305,47444,17391,21765,35630,39445,19018,66833,95887,87399,55648,17240,51096,14513,17797,49452,11297,80905,19049,282941,92957,3430,104085,32511,63491,122312,8039,37790,8561,66191,409530,23907,9164,89474,208160,12572,40712,5414,0.31422505307855625,0.2862453531598513,0.2616995073891626,0.23824451410658307,0.2775144270403957,0.3034124629080119,0.28596491228070176,0.2897727272727273,0.25748502994011974,0.2775534921275737,0.29304390725209667,0.2724358974358974,0.2408026755852843,0.27422790202342917,0.2989556135770235,0.27986348122866894,0.29427792915531337,0.288961038961039,0.3078231292517007,0.25914634146341464,0.2623294858342078,0.2870782940802037,0.2727860374919198,0.2764397905759162,0.28174603174603174,0.3059617547806524,0.31140350877192985,0.3643410852713178,0.2911392405063291,0.3128491620111732,0.283206106870229,0.23270440251572327,0.2619595216191352,0.2935290193462308,0.3333333333333333,0.30887045309508615,0.294,0.28583264291632143,0.2635534084809447,0.3467741935483871,0.3052959501557632,0.26595744680851063,0.28014505893019037,0.28638893573958507,0.25442477876106195,0.24427480916030533,0.288981288981289,0.2800426325606182,0.2962962962962963,0.26625386996904027,0.3829787234042553
2/25/20,15,3969748,-0.19443056837328226,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23863,16587,99581,24268,639507,72725,36718,9378,10756,306161,125036,22521,18444,122041,49020,18050,22682,36904,40459,19690,68857,98772,90442,57506,17699,52850,15052,18335,50840,11725,83253,19737,290562,96061,3568,107425,33448,66114,126183,8272,39092,8783,68309,419994,24652,9429,92540,214925,13012,42341,5579,0.3090909090909091,0.2544731610337972,0.2743055555555556,0.2969151670951157,0.2838357385635482,0.2833394902105652,0.27572663000785547,0.3116883116883117,0.28205128205128205,0.2688506385341477,0.27981366459627327,0.24620573355817876,0.274442538593482,0.2823875802997859,0.27411167512690354,0.29893778452200304,0.27262813522355506,0.2817896389324961,0.3037475345167653,0.25297619047619047,0.26976284584980237,0.2908145580589255,0.2750575090371344,0.25995694294940797,0.3115468409586057,0.2799315849486887,0.3098330241187384,0.3271375464684015,0.2579250720461095,0.22897196261682243,0.25468483816013626,0.24854651162790697,0.26886235402178194,0.2963917525773196,0.2898550724637681,0.27874251497005986,0.26254002134471716,0.2661075104841784,0.28003099974166884,0.24892703862660945,0.27112135176651303,0.27927927927927926,0.273371104815864,0.28077217125382264,0.30604026845637583,0.27169811320754716,0.28701891715590344,0.2886917960088692,0.2772727272727273,0.2903621853898097,0.28484848484848485
