date,tweet_us,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
4/26/20,12744041,74554,44262,329721,76802,1960279,257588,122547,33763,29117,981587,382920,62338,58192,404610,169927,70441,79992,126785,141409,60046,225900,313871,320391,191561,55954,181951,44977,59638,158494,40656,265118,63388,881888,325719,11898,372203,106710,248093,421875,31263,133165,19904,235233,1276153,82347,29033,301133,664461,43700,152847,17637
4/27/20,12852705,75158,44566,332521,77452,1976676,259861,123745,34082,29307,989890,386050,62804,58610,408361,171362,71207,80658,127921,142714,60552,227816,316681,323088,193077,56447,183534,45320,60127,159873,41027,267504,63898,889503,328627,12004,375617,107563,249981,425654,31514,134328,20043,237292,1286941,83000,29266,303681,669731,44059,154232,17780
4/28/20,12962179,75758,44862,335398,78025,1993147,262137,124841,34426,29570,998157,389106,63264,59074,412087,172817,71977,81368,129088,144060,61017,229798,319552,325888,194845,56944,185126,45647,60707,161193,41375,270034,64456,897054,331375,12121,378826,108407,251937,429393,31831,135482,20188,239350,1297864,83662,29508,306244,675173,44414,155678,17928
4/29/20,13074785,76366,45141,338627,78652,2010169,264361,125899,34772,29812,1006621,392324,63749,59554,416047,174333,72774,82097,130340,145406,61533,231862,322356,328641,196588,57433,186752,45999,61218,162696,41732,272513,65031,904830,334476,12213,382132,109269,254017,433358,32148,136660,20345,241414,1308671,84388,29746,308803,680911,44783,157169,18054
4/30/20,13175588,76936,45416,341377,79153,2025527,266372,126928,35029,30052,1013947,395401,64219,59977,419547,175798,73408,82714,131403,146552,61992,233695,325026,331427,198334,57871,188174,46301,61714,163991,42103,274808,65520,911955,337044,12318,385140,109977,255860,436633,32422,137730,20465,243221,1318114,84989,29981,311154,686160,45129,158398,18186
5/01/20,13272241,77423,45635,343837,79660,2040247,268346,127876,35324,30281,1020702,398138,64617,60377,422863,177201,74041,83295,132450,147577,62476,235561,327650,334303,199847,58289,189502,46585,62126,165228,42412,276914,66019,919022,339580,12386,388275,110685,257605,439884,32651,138682,20572,244975,1327267,85535,30182,313457,691275,45470,159619,18317
5/02/20,13374216,77953,45949,346802,80190,2056626,270437,128862,35589,30490,1028515,401018,65122,60847,426204,178468,74673,83917,133454,148734,63004,237346,330205,337038,201354,58766,190817,46927,62629,166574,42739,279229,66589,926038,342215,12476,391222,111491,259642,443307,32908,139839,20687,246834,1336989,86150,30381,315776,696058,45799,160896,18441
5/03/20,13486117,78617,46261,349984,80830,2073423,272678,129875,35928,30728,1037374,404349,65633,61368,430191,179984,75356,84662,134701,150147,63627,239312,332781,340003,203032,59250,192375,47320,63091,167982,43098,281700,67168,933981,345121,12563,394472,112399,261924,447129,33173,141022,20812,248840,1347909,86801,30582,318383,701150,46163,162272,18593
5/04/20,13601803,79289,46610,353168,81506,2090373,275062,130979,36282,30973,1046177,407626,66103,61885,433804,181543,76070,85411,135909,151516,64196,241406,335833,343260,204774,59802,194101,47743,63629,169396,43470,284224,67806,942074,348145,12665,397953,113428,264059,451195,33490,142288,20966,250908,1359133,87455,30809,321192,706901,46608,163867,18741
5/05/20,13724102,80013,46912,356607,82189,2108180,277582,132294,36644,31209,1055471,411008,66639,62415,438073,183317,76969,86143,137192,152916,64829,243577,338987,346540,206720,60355,195913,48137,64205,170821,43938,286749,68439,950525,351338,12777,401798,114406,266357,455521,33861,143583,21077,253149,1370515,88154,31067,324294,713130,47073,165608,18886
5/06/20,13848764,80736,47230,360052,82845,2126105,280136,133510,37045,31485,1064809,414511,67167,62903,442371,184960,77827,86914,138531,154382,65453,245959,342252,349825,208698,60917,197803,48521,64800,172260,44359,289603,69094,959225,354616,12884,405785,115353,268654,459829,34184,145026,21212,255505,1382610,88890,31336,327297,719455,47547,167233,19060
5/07/20,13967566,81399,47537,363395,83506,2143701,282640,134663,37353,31767,1073374,417804,67647,63419,446325,186534,78651,87734,139835,155793,66015,248062,345278,353079,210519,61451,199556,48909,65389,173795,44765,292124,69671,967700,357834,13004,409373,116336,270889,463810,34506,146283,21347,257726,1393966,89698,31567,330096,725705,47987,168822,19227
5/08/20,14067296,81972,47787,366005,84077,2158436,284702,135697,37634,32011,1080607,420535,68085,63784,449744,187858,79341,88411,140877,156907,66544,249890,347903,355864,212021,61903,201107,49216,65918,174974,45081,294315,70170,975047,360366,13088,412404,117096,272777,467658,34758,147333,21472,259501,1403055,90271,31795,332489,730977,48318,170156,19359
