screen_name,created_at,location,state_abb,state,source,hashtags,text
JenuineLeighJen,2020-04-21 22:09:21,Seattleish Washington,WA,Washington,Twitter for Android,,"Meghan McCain: ""I see protesters with guns, it's perfectly normal to me. Bringing a gun is showing which side of the gun argument they're on.""
These protests are about COVID-19. What the fuck is she talking about?"
UWWholeU,2020-04-21 22:09:21,"Washington, USA",WA,Washington,Twitter Web App,,"Dr. Ann Collier @UWDeptMedicine, Dr. Laura Evans @uwpccm &amp; Dr. Alpana Waghmare @UWMedicine @seattlechildren @fredhutch are serving on @NIH COVID-19 Treatment Guidelines Panel to inform &amp; update clinicians on coronavirus patient care
https://t.co/SQuhvY8nwC"
SirADJames,2020-04-21 22:09:20,"Texas, USA",TX,Texas,Twitter Web Client,,Lead NIH COVID Researcher Suggests Pandemic Could Be Genocide https://t.co/iv1GQV0Hsc via @moguldom
highway_62,2020-04-21 22:09:20,California,CA,California,TweetDeck,,"Yes, dopes. Go ahead and sponsor antibacterial foam parties in the face of Covid. Let me know when you learn some basic goddamn taxonomy."
Kelisia,2020-04-21 22:09:20,"Mesa, AZ",AZ,Arizona,Twitter Web App,,"Unfortunately, scammers are taking advantage of the COVID crisis to take advantage. Please be on the lookout for the scams and report any attempts to steal from you. https://t.co/Mcz7nRGD2H"
IAmBgee,2020-04-21 22:09:20,"San Diego, CA",CA,California,Twitter for iPhone,,COVID-19 hearing some States are opening public businesses as early as Friday. https://t.co/UQZl2wdRh4
marinij,2020-04-21 22:09:20,"San Rafael, CA",CA,California,SocialFlow,,"Coronavirus: Bay Area sees modest rise in new cases, six new deaths from COVID-19 https://t.co/8yuCRBURz8"
johnnyloff,2020-04-21 22:09:20,"California, USA",CA,California,Twitter for iPhone,,"My heart earnestly goes out to the people of Florida, Georgia, South Carolina and Tennessee. You've been lied to about the prevalence, contagiousness, and lethality of COVID-19 by state officials acting for their own political profit. You're headed for a major outbreak. #StayHome https://t.co/3D7wjagDpb"
countrymade75,2020-04-21 22:09:20,"Pensacola, FL",FL,Florida,Twitter for iPhone,,"My governor, @GovRonDeSantis, has taken a lot of incoming hate from the national media, but Florida is using science, innovation, and data to fight back against COVID-19 instead of draconian measures that shut down the economy and zap the will of our fellow Americans. https://t.co/8IZTkd0Ned"
GOODgreenCITY,2020-04-21 22:09:20,SF - Silicon Valley CA,CA,California,Twitter Web App,COVID_19,"More than 50 crore poor &amp; vulnerable citizens shall henceforth be eligible for free #COVID_19 testing &amp; treatment under #AyushmanBharat #PMJAY
Testing at private labs &amp; treatment in designated hospitals now made free for Ayushman beneficiaries across India
@AyushmanNHA @ibhushan https://t.co/ikXQhhYJJy"
happyday3,2020-04-21 22:09:19,"Florida, USA",FL,Florida,Twitter for iPhone,,"I know COVID-19 is causing many people to feel anxious about what the future holds or lonely during this time of social distancing — and that's okay, just know that you're not alone. I've asked my friend, Dr. Vivek Murthy, to share a few tips on how to get through this: https://t.co/Hx9TMlF2zP"
Awakeandsee1,2020-04-21 22:09:19,"Guilford, CT",CT,Connecticut,Twitter for iPhone,,"That’s because 300 people have died in the last 2 days. Which means 300 less patients.

YNHH: Signs COVID-19 curve is on downward trend with slight decline in hospitalized patients https://t.co/aPuVRvB4Ux"
StumbleineAdore,2020-04-21 22:09:19,"Clovis, CA",CA,California,Twitter for iPhone,,"A new analysis found that 11% of veterans with Covid-19 died when they received standard care — but the death rate rose to 28% when they were also given hydroxychloroquine, the malaria drug touted by Trump. https://t.co/vTqHJqG5Wt"
tndc_volunteers,2020-04-21 22:09:19,"San Francisco, CA",CA,California,Twitter Web App,COVID19,"#COVID19 highlights economic and racial inequity left and right. Right now, not being able to afford a home means being at higher risk of COVID and in the TL it also means housed residents can't leave their homes safely and securely. #HousingMatters 

https://t.co/Q63auIqKJV"
MarcALevin,2020-04-21 22:09:19,"Austin, TX",TX,Texas,Twitter for Android,"HealthcareHeroes, COVID_19",Our #HealthcareHeroes in Texas are bringing innovative solutions forward to help fight #COVID_19. Proud of their dedication and service to our communities. https://t.co/nHyYnmx9Zw
SpankyinReno,2020-04-21 22:09:19,"Reno, NV",NV,Nevada,Twitter for iPhone,,"In the wealthiest nation on earth, there’s no justification for widespread hunger. Yet, millions were food insecure before COVID-19.

@chefjoseandres is right: we need to prioritize hunger in the U.S., and treat food security as a national security issue. https://t.co/x4xE7PDZOb"
SoooElisa,2020-04-21 22:09:19,"New York, NY",NY,New York,Twitter for iPhone,,I will retweet any information about injustice toward Black people in China until a major news outlet investigates and airs what’s going on. COVID-19 ORIGINATED IN CHINA...and now they’re treating Black people like subhumans as a result?!?! Any excuse to be racist. https://t.co/EhNPPzEMD7
JAM_Navy_Chief,2020-04-21 22:09:18,"Atlanta, GA",GA,Georgia,Twitter for Android,,"I say every city, county, state that has COVID -19 numbers rising and ooens up their economy can only get help from the Feds to protect the first responders &amp; healthcare workers.  Their citizens are on their own for voting in a politician dumb enough to open things up!"
YoungAdultMoney,2020-04-21 22:09:18,"Minneapolis, MN",MN,Minnesota,Twitter for Android,,"Many Americans have received their stimulus check for COVID 💰

So now everyone wants to know: will there be a second stimulus check?

Here's what you need to know, including the latest updates (with developments from this weekend) 👇 https://t.co/3HfYfhGTvv"
JimSatala,2020-04-21 22:09:18,"Fort Myers Beach, FL",FL,Florida,Twitter for iPhone,,"Another COVID theory emanating from France - that the virus infects Prevotella gut bacteria - causing a hyper-immune response and pneumonia. This is theorized as to why Azythromycin is effective in treating COVID, as it is an effective antibacterial.  None of this is yet proven."
mmartinez1776,2020-04-21 22:09:18,"Albuquerque, New Mexico, USA",NM,New Mexico,Twitter Web App,,South Korea has demonstrated its capacity to “flatten the curve” of COVID-19 while avoiding the kind of massive economic shutdowns being experienced throughout the United States and Europe. https://t.co/S77GrXzItb via @AKFREEDOM @DailySignal
MoreauRealtor,2020-04-21 22:09:18,"Manchester, NH",NH,New Hampshire,AdvisorStream v2,,"So many candidates, so little time...Can the world find a good covid-19 vaccine quickly enough?
And can it mass-produce it fairly if it does? https://t.co/GIULNdPxFb https://t.co/8j3WEOpVt3"
uowemetho,2020-04-21 22:09:18,Texas,TX,Texas,Twitter for iPhone,,COVID-19 hearing some States are opening public businesses as early as Friday. https://t.co/UQZl2wdRh4
azyankeefn,2020-04-21 22:09:18,"Phoenix, AZ",AZ,Arizona,Twitter for iPhone,,Overheard: So are we calling these armed Covid-19 protestors the “Flu Klux Klan?” Because if not that sounds like a missed opportunity.
SchoolClosedMI,2020-04-21 22:09:17,"Michigan, USA",MI,Michigan,Twitter for iPhone,,"The Michigan Department of Health and Human Services, which has not previously disclosed this information, will begin sharing data on nursing homes and cases later this week, a spokeswoman said.
https://t.co/PgW9rhMb2E"
mumweber,2020-04-21 22:09:17,"Indiana, USA",IN,Indiana,GaggleAMP,,"Why is it important that we continue to stay at home, maintain social distancing and wash hands frequently? Dr. Ram Yeleti shares how it helps healthcare workers on the frontline of COVID-19. #INthistogether https://t.co/0UuG2J5Dyt"
ScribePR,2020-04-21 22:09:17,"San Diego, CA",CA,California,Twitter for iPhone,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/Z8WOuY1uG5
jamaalcarlos,2020-04-21 22:09:17,"Atlanta, GA",GA,Georgia,Twitter for iPhone,,"Supreme will release a benefit Box Logo Tee to support youth and families facing homelessness during the COVID-19 pandemic. The Box Logo Tee features original artwork by Takashi Murakami.

Available online only in the US and Canada on Friday, April 24th. 

Retail $60 https://t.co/xlMvG4ESja"
scarpenter1963,2020-04-21 22:09:16,"Cape Coral, Florida",FL,Florida,Twitter for iPad,,Overheard: So are we calling these armed Covid-19 protestors the “Flu Klux Klan?” Because if not that sounds like a missed opportunity.
MikeFinley20,2020-04-21 22:09:16," Oregon, USA",,,Twitter for Android,"LIVE, COVID",#LIVE: President @realDonaldTrump and #COVID-19 Task Force Briefing via @RSBNetwork https://t.co/81Zovlcn7t
thisismash,2020-04-21 22:09:16,"Arlington, VA",VA,Virginia,Twitter for Android,,"A new analysis found that 11% of veterans with Covid-19 died when they received standard care — but the death rate rose to 28% when they were also given hydroxychloroquine, the malaria drug touted by Trump. https://t.co/vTqHJqG5Wt"
tatig13,2020-04-21 22:09:16,Indiana,IN,Indiana,Twitter for iPhone,,"We made these masks at a different time and for a different reason. Now that the world has changed, there is an even greater purpose that they can contribute to. Head to the @MCRofficial merch page for details. All proceeds go to MusicCares Covid 19 Relief Fund. https://t.co/5Sm2fdGE3g"
mpotatoes04,2020-04-21 22:09:16,"Los Angeles, CA",CA,California,Twitter for iPhone,,"I know COVID-19 is causing many people to feel anxious about what the future holds or lonely during this time of social distancing — and that's okay, just know that you're not alone. I've asked my friend, Dr. Vivek Murthy, to share a few tips on how to get through this: https://t.co/Hx9TMlF2zP"
drlizziewho,2020-04-21 22:09:16,"Washington, DC",WA,Washington,Twitter for iPhone,,"Uganda has revised its Covid-19 numbers as WHO guidelines state that every case is counted in the Country in which it is confirmed, therefore Uganda is adding the 5 foreign truck drivers tested at border to its number.
1 new case today - truck driver from Kenya.
Total cases: 61 https://t.co/7OWihO99eu"
KevinPetersen3,2020-04-21 22:09:15,"Idaho, USA",ID,Idaho,Twitter for Android,,"At least 710 crew members from the USS Theodore Roosevelt have tested positive for Covid-19, the US Navy says, with nine of the sailors hospitalized https://t.co/882IBhGz0e https://t.co/jqsx19TMrc"
BridgeMichigan,2020-04-21 22:09:15,"Michigan, USA",MI,Michigan,TweetDeck,,"There are 83 counties in Michigan. All but five have reported positive cases of COVID-19. But have they really escaped the virus? 

My last story for @BridgeMichigan is about these five counties and how long they'll be able to keep their numbers down.
https://t.co/CcgLOiNtcZ"
pugnosebeats,2020-04-21 22:09:15,"Texas, USA",TX,Texas,Twitter Web App,,"If you receive a text message saying “Someone who came in contact with you tested positive or has shown symptoms for COVID-19 &amp; recommends you self-isolate/get tested,” DO NOT click the link. This is a scam. https://t.co/P2a57N5G6V"
allvision_io,2020-04-21 22:09:14,"Pittsburgh, PA",PA,Pennsylvania,Twitter Web App,,"Social distancing will create even GREATER demand for scarce urban space. How cities adjust transport in response to COVID-19 may define urban mobility for years. More space for peds/cyclists?  Or more space for inefficient cars? Milan has an answer.
https://t.co/0xggAfT6ZZ"
EveStonestreet,2020-04-21 22:09:14,"Hermitage, PA",PA,Pennsylvania,Twitter for iPhone,,"While the world stops to deal with COVID, normal life-threatening illnesses are still happening and still need treatment.

If you're able, consider giving blood.

Closures have reduced the ability to build blood reserves, so individual donors matter now more than ever."
KWKTFOX44,2020-04-21 22:09:13,"Waco, TX",TX,Texas,TweetDeck,"BREAKING, fox44tx",#BREAKING Third Killeen PD employee tests positive for COVID-19 https://t.co/9RZhkoVbYW #fox44tx https://t.co/bxT3msvjet
DollarStoreFilm,2020-04-21 22:09:13,"Rhode Island, USA",RI,Rhode Island,Twitter for iPhone,GameStop,"#GameStop Re-Opening Stores Shut for COVID-19 in US, Italy
https://t.co/pCvvdswuUJ https://t.co/VbGOwh3BPi"
ddendz,2020-04-21 22:09:13,"The Villages, FL",FL,Florida,Twitter for iPhone,,"So why the surge in USA deaths today?

Simple, new CDC guidelines gave hospitals carte blanche to code any sniffle as COVID-19 with no testing required. They get paid a fortune for COVID-19 cases.

Follow the money.

The numbers are fiction."
ButterNit,2020-04-21 22:09:13,Florida,FL,Florida,Twitter for Android,,COVID-19 hearing some States are opening public businesses as early as Friday. https://t.co/UQZl2wdRh4
jordmakin,2020-04-21 22:09:12,"Utah, USA",UT,Utah,Twitter for Android,,"@twalker201 @JazzFran12 @HobbsPresents Look, I'll accept numerical evidence when arguing about Covid, but NOT about warzone"
id_cure,2020-04-21 22:09:12,"Washington, DC",WA,Washington,Twitter for iPhone,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/ZhRn4epIfN
lovelight9x9,2020-04-21 22:09:12,"Tucson, AZ",AZ,Arizona,Twitter for Android,,"@Inevitable_ET Covid outbreak in at least 2 meat packing plants in Iowa.

The pattern does not align with spontaneous transmission.

This was planned. Kissinger stated ""control the food and you control the people."""
wolf1u2,2020-04-21 22:09:12,"Washington, USA",WA,Washington,Twitter Web App,coronavirus,"Florida hosted spring break &amp; winter solstice during the #coronavirus pandemic. 
Despite having a large elderly population &amp; never locking down their state—hospital bed space has INCREASED &amp; they maintain a very low death rate. 

Time to #ReopenAmerica!

https://t.co/loEVnTGUhV"
citizen_bot_usa,2020-04-21 22:09:11,USA,,,Twitter Web App,,"I have been corresponding with the authors of the well-known Santa Clara County COVID-19 preprint, and I am alarmed at their sloppy behavior. The confidence interval calculation in their preprint made demonstrable math errors - *not* just questionable methodological choices."
Bobette_Bryan,2020-04-21 22:09:11,"Missouri, USA",MO,Missouri,Twitter Web App,,"A new analysis found that 11% of veterans with Covid-19 died when they received standard care — but the death rate rose to 28% when they were also given hydroxychloroquine, the malaria drug touted by Trump. https://t.co/vTqHJqG5Wt"
Pittsburgher85,2020-04-21 22:09:11,"Pittsburgh, PA",PA,Pennsylvania,Twitter for Android,,BREAKING: FDA approves at-home COVID-19 test kit - https://t.co/SEnoRpaYUi https://t.co/TYbVqOw4RM
vshih2,2020-04-21 22:09:10,"Seattle, WA",WA,Washington,Twitter Web App,,"China wants to ease border restrictions with countries in Asia Pacific region to kickstart the economy but who'll play ball? Listen @vshih2 
@RNBreakfast https://t.co/OWHZcyB2p0"
EuroDissentNOLA,2020-04-21 22:09:10,"New Orleans, LA",LA,Louisiana,Twitter for iPhone,,"We've pulled together crucial resources for people who use drugs and harm reduction programs on our website. 
⭐
We'll be updating regularly so make sure to bookmark!📁
 
https://t.co/WL4VOfOl4M"
Debwrightjones,2020-04-21 22:09:10,"Tennessee, USA",TN,Tennessee,Twitter for Android,,"COVID-19 is dividing our country! No surprise...the Dems are determined to blame Trump for everything!
Let's join with other Patriots and show @POTUS that we have his back!

⏹️Leave your @ handle below
⏺️Tweet this over &amp; over
⏹️Follow all who comment
⏺️Follow me @CeeBeesHeart💙 https://t.co/6AvKVg2UHi"
francisco120282,2020-04-21 22:09:10,"West Palm Beach, FL",FL,Florida,Twitter Web Client,,"Coronavirus: Florida is seeing $522 million in COVID-19 crop losses
https://t.co/fGQVgsX8jY"
asweetstart,2020-04-21 22:09:09,"Maine, USA",ME,Maine,Twitter Web Client,,Honored to be quoted in this @pressherald article about the state of weddings in Maine right now due to COVID-19. https://t.co/3SAjBgPXq7
no2censorship,2020-04-21 22:09:09,"California, USA",CA,California,TweetDeck,,"A health official in Gilan said hospitals in this northern Iranian province are in dire need of $62.5 million in equipment to address the COVID-19 crisis.
#Iran
#coronavirus 
https://t.co/xXTh4SXk9N"
GaelShepherd,2020-04-21 22:09:09,"Sacramento, CA",CA,California,Twitter for Android,,@Ajohms1956 Or his coke dealer got covid
jzd67,2020-04-21 22:09:09,"Texas, USA",TX,Texas,Twitter for iPhone,"Trump, FoxNews, Republicans","#Trump #FoxNews #Republicans 
The Denial carnage is just starting.  
An Ohio man who dismissed the coronavirus pandemic as a “political ploy” and ripped his state’s lockdown as “bulls–t,” has died of COVID-19, according to reports."
Lbow19,2020-04-21 22:09:09,Albany NY,NY,New York,Twitter for Android,,Marsha Blackburn Will Introduce ‘Stop COVID Act’ to Allow Americans to Sue China for Damages https://t.co/8dwdGbgkVt https://t.co/BgC4Xbz441
drewskiMD,2020-04-21 22:09:09,"Boston, MA",MA,Massachusetts,Twitter for Android,,"The coronavirus is far deadlier than official numbers show. A New York Times analysis of 11 countries found that at least 28,000 more people have died in the last month than is reflected in official Covid-19 death counts for those nations. https://t.co/2n8zkdx0Pa"
roshawn6869,2020-04-21 22:09:09,Georgia,GA,Georgia,Twitter for iPhone,,@OvieSheikh @jidesanwoolu is doing great job with the COVID-19 but then he should use this opportunity to quickly sort out the Lekki and Ikeja roundabouts because they would constitute great problems once movement starts again @Mr_JAGss @Ayourb
tmaxwell_l,2020-04-21 22:09:08,New Hope PA,PA,Pennsylvania,Twitter for iPhone,palliativecare,"How are #palliativecare professionals using lessons from the AIDS Pandemic to inform and implement palliative care for #COVID19 #patients? Find out here: https://t.co/PMFgfuJPQt

#HPM #SeriousIllness #EndOfLife #Telemedicine #Technology"
ChristineReeve,2020-04-21 22:09:08,"Bethel, CT",CT,Connecticut,Twitter for Android,,"REMEMBERING DAN: “We just thought he’s young, he’s healthy, he can fight this.” Dan Spano was 30 y/o—a personal trainer w/ no underlying conditions. He had age &amp; health on his side but still succumbed to COVID-19 earlier this month. Hear from his sister &amp; friends @ 5 on @News12CT https://t.co/myDQLOF8KQ"
portera316,2020-04-21 22:09:08,"Glen Mills, PA",PA,Pennsylvania,Twitter for Android,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/60Epnpz8eJ
CarylHill11,2020-04-21 22:09:08,A Blue 🌊 in AZ,AZ,Arizona,Twitter Web App,,"If you receive a text message saying “Someone who came in contact with you tested positive or has shown symptoms for COVID-19 &amp; recommends you self-isolate/get tested,” DO NOT click the link. This is a scam. https://t.co/P2a57N5G6V"
KarenJacoby9,2020-04-21 22:09:07,"Dewey Beach, DE",DE,Delaware,Twitter for iPad,,"He lies and puts Americans in danger!  Shame on our media for broadcasting this information live ⁦@CNN⁩ ⁦@MSNBC⁩!  

And ⁦@FoxNews⁩ pushing this nightly on your shows - blood on your hands! https://t.co/EfAOM60f65"
